d,manifold,samplingdist,cov_type,mean_type,value,summary_type,n,ptile,M-estimator,cutoff_ratio,eff_rank
2,sphere,gaussian,full-rank,fm,1.0,ARE,1000,0.00,Fréchet,,2.0
2,sphere,gaussian,full-rank,gm,0.8013141204108681,ARE,1000,0.00,Geo.median,,2.0
2,sphere,gaussian,full-rank,mono,0.8199153650704831,ARE,1000,5.00,Huber,0.22579046203171588,2.0
2,sphere,gaussian,full-rank,softr,0.4563275962488596,ARE,1000,5.00,Cauchy,0.22579046203171588,2.0
2,sphere,gaussian,full-rank,hardr,0.1096915716117753,ARE,979,5.00,Hampel,0.22579046203171588,2.0
2,sphere,gaussian,full-rank,mono,0.8328749447757705,ARE,1000,10.00,Huber,0.3239479395503188,2.0
2,sphere,gaussian,full-rank,softr,0.5457838359365268,ARE,1000,10.00,Cauchy,0.3239479395503188,2.0
2,sphere,gaussian,full-rank,hardr,0.27861897030547783,ARE,999,10.00,Hampel,0.3239479395503188,2.0
2,sphere,gaussian,full-rank,mono,0.8459903396012476,ARE,1000,15.00,Huber,0.4023550624678796,2.0
2,sphere,gaussian,full-rank,softr,0.606203135530245,ARE,1000,15.00,Cauchy,0.4023550624678796,2.0
2,sphere,gaussian,full-rank,hardr,0.4461138634560077,ARE,1000,15.00,Hampel,0.4023550624678796,2.0
2,sphere,gaussian,full-rank,mono,0.8595804541714595,ARE,1000,20.00,Huber,0.47140593438421247,2.0
2,sphere,gaussian,full-rank,softr,0.6526059568933563,ARE,1000,20.00,Cauchy,0.47140593438421247,2.0
2,sphere,gaussian,full-rank,hardr,0.5786152742457736,ARE,1000,20.00,Hampel,0.47140593438421247,2.0
2,sphere,gaussian,full-rank,mono,0.8715565186808368,ARE,1000,25.00,Huber,0.5353127009423759,2.0
2,sphere,gaussian,full-rank,softr,0.6900375416545104,ARE,1000,25.00,Cauchy,0.5353127009423759,2.0
2,sphere,gaussian,full-rank,hardr,0.6750348971014056,ARE,1000,25.00,Hampel,0.5353127009423759,2.0
2,sphere,gaussian,full-rank,mono,0.8827675045548607,ARE,1000,30.00,Huber,0.5961391446095162,2.0
2,sphere,gaussian,full-rank,softr,0.7218943727648495,ARE,1000,30.00,Cauchy,0.5961391446095162,2.0
2,sphere,gaussian,full-rank,hardr,0.7479897021990952,ARE,1000,30.00,Hampel,0.5961391446095162,2.0
2,sphere,gaussian,full-rank,mono,0.8944038776006976,ARE,1000,35.00,Huber,0.6553038995204956,2.0
2,sphere,gaussian,full-rank,softr,0.7490314958666375,ARE,1000,35.00,Cauchy,0.6553038995204956,2.0
2,sphere,gaussian,full-rank,hardr,0.80124095311766,ARE,1000,35.00,Hampel,0.6553038995204956,2.0
2,sphere,gaussian,full-rank,mono,0.9056149003272547,ARE,1000,40.00,Huber,0.7136710075893291,2.0
2,sphere,gaussian,full-rank,softr,0.7732931836793743,ARE,1000,40.00,Cauchy,0.7136710075893291,2.0
2,sphere,gaussian,full-rank,hardr,0.8409806366846138,ARE,1000,40.00,Hampel,0.7136710075893291,2.0
2,sphere,gaussian,full-rank,mono,0.91687763638561,ARE,1000,45.00,Huber,0.7720770233813727,2.0
