i,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE,variance,value_aggf
0,1.0,0,1,-1,70.0,1.0346752807697035,10,0.978828021270588,0.00010995314932972946,0.9276681895476196
1,1.0,0,1,-1,70.0,1.0383312351576417,10,1.0151633612531912,0.00010783253560242123,0.9276681895476196
2,1.0,0,1,-1,70.0,1.0348638190661616,10,0.8437895871263387,0.0001358947233522266,0.9276681895476196
3,1.0,0,1,-1,70.0,1.0344072843455128,10,0.9732981668028322,0.00011051629702761248,0.9276681895476196
4,1.0,0,1,-1,70.0,1.0361884564663533,10,0.8412821683955813,0.00011481687118606095,0.9276681895476196
5,1.0,0,1,-1,70.0,1.0365321205104259,10,0.8726405679087658,9.704760096605091e-05,0.9276681895476196
6,1.0,0,1,-1,70.0,1.04178576657693,10,0.8281716445163079,0.00011762286479342878,0.9276681895476196
7,1.0,0,1,-1,70.0,1.0340872676955428,10,0.9355305713825651,0.00011481412747105287,0.9276681895476196
8,1.0,0,1,-1,70.0,1.034402648512825,10,0.9119168344262607,0.00010697454988469528,0.9276681895476196
9,1.0,0,1,-1,70.0,1.0374856952939953,10,1.076060972393766,9.197233887586412e-05,0.9276681895476196
0,1.0,0,1,-1,75.0,1.1447809420534756,2,0.9830853283833574,0.00010694641152957179,0.9014682324320302
0,1.0,0,1,-1,75.0,1.1485531324138287,10,1.0021658275981087,0.00010739262966971642,0.9528001349540197
1,1.0,0,1,-1,75.0,1.1451433989347286,2,0.8620812899683324,0.00011874163540563126,0.9014682324320302
1,1.0,0,1,-1,75.0,1.1504187782133706,10,1.0313920095163958,0.0001061358225432986,0.9528001349540197
2,1.0,0,1,-1,75.0,1.1430252446685882,2,0.9066158747293055,0.00010533207168759462,0.9014682324320302
2,1.0,0,1,-1,75.0,1.1481744696413612,10,0.8709189808323434,0.00013166156098749353,0.9528001349540197
3,1.0,0,1,-1,75.0,1.1426433473285345,2,0.9369399052781429,0.00010053370430551371,0.9014682324320302
3,1.0,0,1,-1,75.0,1.1491119265335215,10,0.9909807076734266,0.00010854430208974381,0.9528001349540197
4,1.0,0,1,-1,75.0,1.1509575512404198,2,0.903414854385812,0.00013057914864305335,0.9014682324320302
4,1.0,0,1,-1,75.0,1.148386188406925,10,0.8773395107799905,0.0001100980694166276,0.9528001349540197
5,1.0,0,1,-1,75.0,1.1547089550060239,2,0.9896652774469523,9.478209363771596e-05,0.9014682324320302
5,1.0,0,1,-1,75.0,1.1504213877787217,10,0.9133685153248846,9.272015862192775e-05,0.9528001349540197
6,1.0,0,1,-1,75.0,1.152662589296363,2,0.8976558978210678,0.0001122239212049749,0.9014682324320302
6,1.0,0,1,-1,75.0,1.156267328663357,10,0.8701304611903603,0.0001119509380644269,0.9528001349540197
7,1.0,0,1,-1,75.0,1.1454252732924612,2,0.8655432227393356,9.37565968014166e-05,0.9014682324320302
7,1.0,0,1,-1,75.0,1.1481343682408216,10,0.9505681018921511,0.0001129978231564638,0.9528001349540197
8,1.0,0,1,-1,75.0,1.146014917333143,2,0.8764183444606252,0.00010924665331748123,0.9014682324320302
8,1.0,0,1,-1,75.0,1.147579548465207,10,0.9423320457653678,0.00010352178229892754,0.9528001349540197
9,1.0,0,1,-1,75.0,1.1499672278818176,2,0.7932623291073715,0.00010032806168529381,0.9014682324320302
9,1.0,0,1,-1,75.0,1.1514064606558154,10,1.0788051889671688,9.173838373807004e-05,0.9528001349540197
