covtype,i,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE,variance,value_aggf
full-rank,0,2.0,0,1,-1,5.0,0.10906895066192138,2,1.144296473387024,7.850980805128652e-05,1.309621778982122
full-rank,1,2.0,0,1,-1,5.0,0.1094512632687189,2,1.3998529074988229,6.519677414427787e-05,1.309621778982122
full-rank,2,2.0,0,1,-1,5.0,0.10689072348905856,2,0.9609410765076892,8.576410725290301e-05,1.309621778982122
full-rank,3,2.0,0,1,-1,5.0,0.10844383316621704,2,1.213917673861254,7.86171273203566e-05,1.309621778982122
full-rank,4,2.0,0,1,-1,5.0,0.10881087203793832,2,1.3139982205848815,7.926262477086403e-05,1.309621778982122
full-rank,5,2.0,0,1,-1,5.0,0.10913123695188257,2,0.9204363159457701,8.124039139958191e-05,1.309621778982122
full-rank,6,2.0,0,1,-1,5.0,0.1074609058555868,2,1.509095601310603,7.271167635138134e-05,1.309621778982122
full-rank,7,2.0,0,1,-1,5.0,0.10802784940936208,2,1.4186249469792476,8.388158115664693e-05,1.309621778982122
full-rank,8,2.0,0,1,-1,5.0,0.10825270954666344,2,1.6164620422280909,5.9726038913624585e-05,1.309621778982122
full-rank,9,2.0,0,1,-1,5.0,0.10732991016295378,2,1.5985925315178386,6.205132189622858e-05,1.309621778982122
full-rank,0,2.0,0,1,-1,10.0,0.17154784942806672,2,1.337774784616632,6.715517253909409e-05,1.4874433884845568
full-rank,1,2.0,0,1,-1,10.0,0.17204439365175253,2,1.498351395754952,6.0910874514470406e-05,1.4874433884845568
full-rank,2,2.0,0,1,-1,10.0,0.16842042955036154,2,1.1441198508118655,7.203288492096744e-05,1.4874433884845568
full-rank,3,2.0,0,1,-1,10.0,0.17248873924285177,2,1.4295373501025612,6.675916534502188e-05,1.4874433884845568
full-rank,4,2.0,0,1,-1,10.0,0.17234963264909556,2,1.4950906713179748,6.966196091370818e-05,1.4874433884845568
full-rank,5,2.0,0,1,-1,10.0,0.17156588963546485,2,1.091959809811916,6.847926626411593e-05,1.4874433884845568
full-rank,6,2.0,0,1,-1,10.0,0.1690583543858053,2,1.6965321287866815,6.467833357465808e-05,1.4874433884845568
full-rank,7,2.0,0,1,-1,10.0,0.16955946267654434,2,1.6886559975727564,7.046817338281279e-05,1.4874433884845568
full-rank,8,2.0,0,1,-1,10.0,0.17041753782539862,2,1.67550294301742,5.7621429576628476e-05,1.4874433884845568
full-rank,9,2.0,0,1,-1,10.0,0.1697648945861929,2,1.8169089530528078,5.4595349749062124e-05,1.4874433884845568
full-rank,0,2.0,0,1,-1,15.0,0.22705575326216174,2,1.4200359715474082,6.326494418411292e-05,1.5970101016963425
full-rank,1,2.0,0,1,-1,15.0,0.2265290719318776,2,1.5657046307540128,5.829062011617069e-05,1.5970101016963425
full-rank,2,2.0,0,1,-1,15.0,0.22433352484877647,2,1.3842068875324642,5.953897086600984e-05,1.5970101016963425
full-rank,3,2.0,0,1,-1,15.0,0.2272189099243663,2,1.4927163392691183,6.393359395336238e-05,1.5970101016963425
full-rank,4,2.0,0,1,-1,15.0,0.22950313722449156,2,1.5867105264495154,6.563953926798145e-05,1.5970101016963425
full-rank,5,2.0,0,1,-1,15.0,0.22739332290139988,2,1.16767083123731,6.403911493326194e-05,1.5970101016963425
full-rank,6,2.0,0,1,-1,15.0,0.22504381485539296,2,1.7778413052680115,6.172028438120242e-05,1.5970101016963425
full-rank,7,2.0,0,1,-1,15.0,0.22684085473709747,2,1.8550820421556549,6.414622152376968e-05,1.5970101016963425
full-rank,8,2.0,0,1,-1,15.0,0.2255970839961294,2,1.8215847275516366,5.300048544339547e-05,1.5970101016963425
full-rank,9,2.0,0,1,-1,15.0,0.22542146675742564,2,1.8985477551982948,5.224771380257427e-05,1.5970101016963425
full-rank,0,2.0,0,1,-1,20.0,0.2812659249864057,2,1.518242428752116,5.9172695202056765e-05,1.6543818314634726
full-rank,1,2.0,0,1,-1,20.0,0.2803810216547315,2,1.6539360683234596,5.5181028815657115e-05,1.6543818314634726
full-rank,2,2.0,0,1,-1,20.0,0.2784609994399315,2,1.4604743435108105,5.642978523759017e-05,1.6543818314634726
full-rank,3,2.0,0,1,-1,20.0,0.27957866510391305,2,1.5407425855711419,6.194072988967484e-05,1.6543818314634726
full-rank,4,2.0,0,1,-1,20.0,0.282492294911541,2,1.6286243513813703,6.39502582774619e-05,1.6543818314634726
full-rank,5,2.0,0,1,-1,20.0,0.28238073882655557,2,1.1916304371983744,6.27515077087405e-05,1.6543818314634726
full-rank,6,2.0,0,1,-1,20.0,0.27952654812680866,2,1.7539268612586147,6.256182818652343e-05,1.6543818314634726
full-rank,7,2.0,0,1,-1,20.0,0.2812734295966871,2,2.0454600865994963,5.817591083808978e-05,1.6543818314634726
