i,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE,variance,value_aggf
0,1.0,0,1,-1,60.0,0.8431738822451089,10,0.961833367074085,0.00011189591386113637,0.9184254239572998
1,1.0,0,1,-1,60.0,0.845987790052359,10,0.9977021356548039,0.00010971976042004099,0.9184254239572998
2,1.0,0,1,-1,60.0,0.8399749377011367,10,0.8588752040227038,0.0001335078157722576,0.9184254239572998
3,1.0,0,1,-1,60.0,0.8406141846395789,10,0.9582676850914285,0.00011224975126709996,0.9184254239572998
4,1.0,0,1,-1,60.0,0.8391304111833406,10,0.843121677369788,0.00011456636562961982,0.9184254239572998
5,1.0,0,1,-1,60.0,0.8442793328364708,10,0.8664566562568911,9.774023086977055e-05,0.9184254239572998
6,1.0,0,1,-1,60.0,0.8432887196872902,10,0.8014735464472681,0.00012154103126733995,0.9184254239572998
7,1.0,0,1,-1,60.0,0.8402451871682287,10,0.9211482324776142,0.00011660677672569392,0.9184254239572998
8,1.0,0,1,-1,60.0,0.837732260603535,10,0.9136310170306552,0.00010677384094519227,0.9184254239572998
9,1.0,0,1,-1,60.0,0.8450349575965042,10,1.0617447181477586,9.321246690705775e-05,0.9184254239572998
0,1.0,0,1,-1,70.0,1.0319074968550745,2,1.0084666942391338,0.00010425475496470875,0.9030889393061299
0,1.0,0,1,-1,70.0,1.0346752807697035,10,1.0012216008948702,0.0001074939089355398,0.9522462554361514
1,1.0,0,1,-1,70.0,1.0349685224071592,2,0.8670561977410283,0.00011806033160264694,0.9030889393061299
1,1.0,0,1,-1,70.0,1.0383312351576417,10,1.0246820560193732,0.00010683083464920036,0.9522462554361514
2,1.0,0,1,-1,70.0,1.0304677050040187,2,0.9049377811605612,0.00010552739679807325,0.9030889393061299
2,1.0,0,1,-1,70.0,1.0348638190661616,10,0.8785719269022031,0.00013051470118597043,0.9522462554361514
3,1.0,0,1,-1,70.0,1.0297476632322538,2,0.9269101847283173,0.00010162153889470709,0.9030889393061299
3,1.0,0,1,-1,70.0,1.0344072843455128,10,0.9900391744535112,0.00010864752837501322,0.9522462554361514
4,1.0,0,1,-1,70.0,1.0351616199542026,2,0.8989083555436151,0.00013123378131894956,0.9030889393061299
4,1.0,0,1,-1,70.0,1.0361884564663533,10,0.8773824577936868,0.00011009268022374692,0.9522462554361514
5,1.0,0,1,-1,70.0,1.0418116658330057,2,0.994674838862893,9.430473490634162e-05,0.9030889393061299
5,1.0,0,1,-1,70.0,1.0365321205104259,10,0.9199972723552596,9.205209207239427e-05,0.9522462554361514
6,1.0,0,1,-1,70.0,1.0393428030558638,2,0.9014079107485445,0.00011175680127168795,0.9030889393061299
6,1.0,0,1,-1,70.0,1.04178576657693,10,0.8573874839661343,0.00011361481615999529,0.9522462554361514
7,1.0,0,1,-1,70.0,1.0334269875111748,2,0.8654192349314087,9.3770029221736e-05,0.9030889393061299
7,1.0,0,1,-1,70.0,1.0340872676955428,10,0.9533403960532245,0.00011266922782299471,0.9522462554361514
8,1.0,0,1,-1,70.0,1.0326578153329677,2,0.8903089329323826,0.00010754218844352816,0.9030889393061299
8,1.0,0,1,-1,70.0,1.034402648512825,10,0.9377369978698471,0.00010402905411285171,0.9522462554361514
9,1.0,0,1,-1,70.0,1.0373951861348327,2,0.7727992621734148,0.00010298466339560913,0.9030889393061299
9,1.0,0,1,-1,70.0,1.0374856952939953,10,1.082103188053403,9.145878646021244e-05,0.9522462554361514
0,1.0,0,1,-1,75.0,1.1447809420534756,2,1.007223842276374,0.00010438339888813108,0.918691690902348
0,1.0,0,1,-1,75.0,1.1499042271551414,2,0.9246854787642895,9.237763671341032e-05,0.909499021859868
0,1.0,0,1,-1,75.0,1.1485531324138287,10,1.0120541937713161,0.0001063433403599013,0.9656331445965887
1,1.0,0,1,-1,75.0,1.1451433989347286,2,0.8857634174000942,0.00011556691122320122,0.918691690902348
1,1.0,0,1,-1,75.0,1.151393939936187,2,0.902815862704107,8.855643722790397e-05,0.909499021859868
1,1.0,0,1,-1,75.0,1.1504187782133706,10,1.0316574077657596,0.00010610851865221446,0.9656331445965887
2,1.0,0,1,-1,75.0,1.1430252446685882,2,0.9217792230733383,0.0001035993499524785,0.918691690902348
2,1.0,0,1,-1,75.0,1.1538824169662665,2,0.9194136604470461,0.00010016221993750342,0.909499021859868
2,1.0,0,1,-1,75.0,1.1481744696413612,10,0.8916889104074535,0.00012859479485690463,0.9656331445965887
3,1.0,0,1,-1,75.0,1.1426433473285345,2,0.954459643562119,9.868834164399997e-05,0.918691690902348
3,1.0,0,1,-1,75.0,1.1515175423905453,2,0.9024258512760814,0.00011720873769063034,0.909499021859868
3,1.0,0,1,-1,75.0,1.1491119265335215,10,0.9966968737844697,0.00010792178858792421,0.9656331445965887
4,1.0,0,1,-1,75.0,1.1509575512404198,2,0.916569821819741,0.00012870502579168222,0.918691690902348
4,1.0,0,1,-1,75.0,1.1500456696807486,2,0.8899311926982596,0.00013128243211414872,0.909499021859868
4,1.0,0,1,-1,75.0,1.148386188406925,10,0.8985828439282528,0.00010749524878255741,0.9656331445965887
5,1.0,0,1,-1,75.0,1.1547089550060239,2,0.9973141247988797,9.40551674387341e-05,0.918691690902348
5,1.0,0,1,-1,75.0,1.1491778479778827,2,0.9306624887904642,0.00013067309523728774,0.909499021859868
5,1.0,0,1,-1,75.0,1.1504213877787217,10,0.9420962762198353,8.989280157332491e-05,0.9656331445965887
6,1.0,0,1,-1,75.0,1.152662589296363,2,0.9175320371290739,0.00010979285809077545,0.918691690902348
6,1.0,0,1,-1,75.0,1.1439081613670783,2,0.9749478644504663,0.00011623729819505619,0.909499021859868
6,1.0,0,1,-1,75.0,1.156267328663357,10,0.8878010446335841,0.00010972269289106027,0.9656331445965887
7,1.0,0,1,-1,75.0,1.1454252732924612,2,0.879324863649797,9.228715154458528e-05,0.918691690902348
7,1.0,0,1,-1,75.0,1.1496036018866402,2,0.9469980457432766,0.00010040380087466702,0.909499021859868
7,1.0,0,1,-1,75.0,1.1481343682408216,10,0.9608292918148486,0.00011179106131631448,0.9656331445965887
8,1.0,0,1,-1,75.0,1.146014917333143,2,0.8960143374664481,0.00010685740956902493,0.918691690902348
8,1.0,0,1,-1,75.0,1.1553251646500518,2,0.8408987760884473,0.00012689697447166754,0.909499021859868
8,1.0,0,1,-1,75.0,1.147579548465207,10,0.9540425146004988,0.00010225109615358689,0.9656331445965887
9,1.0,0,1,-1,75.0,1.1499672278818176,2,0.8109355978476152,9.814154428359364e-05,0.918691690902348
9,1.0,0,1,-1,75.0,1.1510216243020825,2,0.8622109976362419,0.00011565832497506626,0.909499021859868
9,1.0,0,1,-1,75.0,1.1514064606558154,10,1.0808820890398672,9.156210969505756e-05,0.9656331445965887
0,1.0,0,1,-1,80.0,1.2788344793526047,2,0.9986347896947467,0.00010528117904855707,0.9321671720473418
0,1.0,0,1,-1,80.0,1.281297782481958,2,0.9310128705805951,9.174981563701041e-05,0.9271759503407262
0,1.0,0,1,-1,80.0,1.2839239115570085,5,0.8715967639934775,0.00010326505835792051,0.9194253724846373
0,1.0,0,1,-1,80.0,1.2813658628776126,10,1.0146816641478447,0.00010606796928894438,0.9759686684653801
1,1.0,0,1,-1,80.0,1.274238872575013,2,0.9050746615714079,0.00011310110267114101,0.9321671720473418
1,1.0,0,1,-1,80.0,1.280173790739009,2,0.9135456542954844,8.751632269059266e-05,0.9271759503407262
1,1.0,0,1,-1,80.0,1.2823133526178292,5,0.9514191231233038,9.891554288848342e-05,0.9194253724846373
1,1.0,0,1,-1,80.0,1.2821470664437755,10,1.0316944064520335,0.00010610471338219647,0.9759686684653801
2,1.0,0,1,-1,80.0,1.2710154667573503,2,0.9431412050852874,0.0001012528429414373,0.9321671720473418
2,1.0,0,1,-1,80.0,1.2836513654936996,2,0.9477510479453926,9.716740854139176e-05,0.9271759503407262
2,1.0,0,1,-1,80.0,1.2756008207038916,5,0.8969268504190264,9.439161458952441e-05,0.9194253724846373
2,1.0,0,1,-1,80.0,1.2795346264216607,10,0.907892312033292,0.00012629972849226916,0.9759686684653801
3,1.0,0,1,-1,80.0,1.2726771710086642,2,0.973659755927925,9.674225397094623e-05,0.9321671720473418
3,1.0,0,1,-1,80.0,1.281749117476198,2,0.926627047008436,0.00011414753673437621,0.9271759503407262
3,1.0,0,1,-1,80.0,1.2831443572261894,5,0.8552999476679555,0.00010202294611351451,0.9194253724846373
3,1.0,0,1,-1,80.0,1.2776047772692702,10,1.0028535644731795,0.00010725923814741476,0.9759686684653801
4,1.0,0,1,-1,80.0,1.2825023830017264,2,0.9322535955130918,0.00012653975605453238,0.9321671720473418
4,1.0,0,1,-1,80.0,1.2835848307669642,2,0.9070688967217521,0.00012880204779804237,0.9271759503407262
