covtype,i,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE,variance,value_aggf
full-rank,0,2.0,0,1,-1,5.0,0.10906895066192138,2,2.2140441491658653,4.057665088260581e-05,2.1395512050744947
full-rank,1,2.0,0,1,-1,5.0,0.1094512632687189,2,2.1019709920228986,4.341919759681309e-05,2.1395512050744947
full-rank,2,2.0,0,1,-1,5.0,0.10689072348905856,2,2.054799415655402,4.010817451154401e-05,2.1395512050744947
full-rank,3,2.0,0,1,-1,5.0,0.10844383316621704,2,2.10664571615004,4.530174181199828e-05,2.1395512050744947
full-rank,4,2.0,0,1,-1,5.0,0.10881087203793832,2,2.4927355646091702,4.178178760173948e-05,2.1395512050744947
full-rank,5,2.0,0,1,-1,5.0,0.10913123695188257,2,1.8016629411848444,4.1504215276053556e-05,2.1395512050744947
full-rank,6,2.0,0,1,-1,5.0,0.1074609058555868,2,2.1918773719312727,5.0061592108643915e-05,2.1395512050744947
full-rank,7,2.0,0,1,-1,5.0,0.10802784940936208,2,2.222000524701358,5.355376936145283e-05,2.1395512050744947
full-rank,8,2.0,0,1,-1,5.0,0.10825270954666344,2,1.9080566858823855,5.0598535961139225e-05,2.1395512050744947
full-rank,9,2.0,0,1,-1,5.0,0.10732991016295378,2,2.3017186894417114,4.309596138274409e-05,2.1395512050744947
full-rank,0,2.0,0,1,-1,10.0,0.17154784942806672,2,2.1315303153762315,4.2147416732152904e-05,2.0448749663834436
full-rank,1,2.0,0,1,-1,10.0,0.17204439365175253,2,2.0106935178582472,4.5390256165258924e-05,2.0448749663834436
full-rank,2,2.0,0,1,-1,10.0,0.16842042955036154,2,1.949640395161116,4.227151517473299e-05,2.0448749663834436
full-rank,3,2.0,0,1,-1,10.0,0.17248873924285177,2,1.9905703197846556,4.794340565306212e-05,2.0448749663834436
full-rank,4,2.0,0,1,-1,10.0,0.17234963264909556,2,2.317844553169267,4.493439724652518e-05,2.0448749663834436
full-rank,5,2.0,0,1,-1,10.0,0.17156588963546485,2,1.7226322345703935,4.340834048334879e-05,2.0448749663834436
full-rank,6,2.0,0,1,-1,10.0,0.1690583543858053,2,2.14060232556367,5.12607454618623e-05,2.0448749663834436
full-rank,7,2.0,0,1,-1,10.0,0.16955946267654434,2,2.120302235780697,5.612242519617449e-05,2.0448749663834436
full-rank,8,2.0,0,1,-1,10.0,0.17041753782539862,2,1.8484211260939551,5.223099513070846e-05,2.0448749663834436
full-rank,9,2.0,0,1,-1,10.0,0.1697648945861929,2,2.2165126404762003,4.475263436025753e-05,2.0448749663834436
full-rank,0,2.0,0,1,-1,15.0,0.22705575326216174,2,2.0558139417734793,4.369972138717903e-05,1.9709634354208887
full-rank,1,2.0,0,1,-1,15.0,0.2265290719318776,2,1.9438566844578946,4.6950937574322165e-05,1.9709634354208887
full-rank,2,2.0,0,1,-1,15.0,0.22433352484877647,2,1.871679269869826,4.4032252147055833e-05,1.9709634354208887
full-rank,3,2.0,0,1,-1,15.0,0.2272189099243663,2,1.9179760046870076,4.9758036643401706e-05,1.9709634354208887
full-rank,4,2.0,0,1,-1,15.0,0.22950313722449156,2,2.2054862425215855,4.72235763251573e-05,1.9709634354208887
full-rank,5,2.0,0,1,-1,15.0,0.22739332290139988,2,1.6626372769071531,4.4974696287889955e-05,1.9709634354208887
full-rank,6,2.0,0,1,-1,15.0,0.22504381485539296,2,2.0806574878142254,5.273759452886321e-05,1.9709634354208887
full-rank,7,2.0,0,1,-1,15.0,0.22684085473709747,2,2.0217193001054685,5.885906298400372e-05,1.9709634354208887
full-rank,8,2.0,0,1,-1,15.0,0.2255970839961294,2,1.80708291629769,5.3425813484148774e-05,1.9709634354208887
full-rank,9,2.0,0,1,-1,15.0,0.22542146675742564,2,2.1427252297745585,4.6293747035664894e-05,1.9709634354208887
full-rank,0,2.0,0,1,-1,20.0,0.2812659249864057,2,1.9691024401336357,4.562408468361978e-05,1.9074427957650477
full-rank,1,2.0,0,1,-1,20.0,0.2803810216547315,2,1.8919489147303772,4.823908993251957e-05,1.9074427957650477
full-rank,2,2.0,0,1,-1,20.0,0.2784609994399315,2,1.816978520104322,4.535785791490464e-05,1.9074427957650477
full-rank,3,2.0,0,1,-1,20.0,0.27957866510391305,2,1.8496422579161416,5.159631269989514e-05,1.9074427957650477
full-rank,4,2.0,0,1,-1,20.0,0.282492294911541,2,2.1313286657804076,4.886667625692847e-05,1.9074427957650477
full-rank,5,2.0,0,1,-1,20.0,0.28238073882655557,2,1.611983394586225,4.638795090381051e-05,1.9074427957650477
full-rank,6,2.0,0,1,-1,20.0,0.27952654812680866,2,2.0338199579765153,5.3952106485846976e-05,1.9074427957650477
full-rank,7,2.0,0,1,-1,20.0,0.2812734295966871,2,1.9270116240641526,6.17518348799136e-05,1.9074427957650477
full-rank,8,2.0,0,1,-1,20.0,0.2799896385863338,2,1.759536055653104,5.486950638284961e-05,1.9074427957650477
