covtype,i,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE,variance,value_aggf
full-rank,0,2.0,0,1,-1,5.0,0.16301379454902096,2,1.4332584047700199,6.265154212635243e-05,1.3332487099888828
full-rank,1,2.0,0,1,-1,5.0,0.16268577566168002,2,1.4157537856336924,6.735303246658329e-05,1.3332487099888828
full-rank,2,2.0,0,1,-1,5.0,0.162505256172723,2,1.1239206742282901,7.723157583796304e-05,1.3332487099888828
full-rank,3,2.0,0,1,-1,5.0,0.16301925397524972,2,1.3137665943169203,7.414522108020018e-05,1.3332487099888828
full-rank,4,2.0,0,1,-1,5.0,0.16211026124709452,2,1.4000141830281772,6.918280596742183e-05,1.3332487099888828
full-rank,5,2.0,0,1,-1,5.0,0.164548891595042,2,1.3967967655465738,7.28756793558083e-05,1.3332487099888828
full-rank,6,2.0,0,1,-1,5.0,0.16105158900339453,2,1.2178356976597067,7.589995720854086e-05,1.3332487099888828
full-rank,7,2.0,0,1,-1,5.0,0.1611172356969357,2,1.2463588794317997,6.828319345298582e-05,1.3332487099888828
full-rank,8,2.0,0,1,-1,5.0,0.1616976687472179,2,1.3438151953538926,6.488004870227217e-05,1.3332487099888828
full-rank,9,2.0,0,1,-1,5.0,0.16394433949747567,2,1.4409669199197561,7.43963235607927e-05,1.3332487099888828
full-rank,0,2.0,0,1,-1,10.0,0.2345579917016915,2,1.4288227261862103,6.284603938522112e-05,1.3469280005216366
full-rank,1,2.0,0,1,-1,10.0,0.233481149044226,2,1.4196483170895076,6.716826240738763e-05,1.3469280005216366
full-rank,2,2.0,0,1,-1,10.0,0.2320075680276226,2,1.1504534200693233,7.545039483848574e-05,1.3469280005216366
full-rank,3,2.0,0,1,-1,10.0,0.2339395445342436,2,1.3213631595417525,7.371895748719924e-05,1.3469280005216366
full-rank,4,2.0,0,1,-1,10.0,0.23354022956513001,2,1.4043123180061972,6.897106030771821e-05,1.3469280005216366
full-rank,5,2.0,0,1,-1,10.0,0.23346092123841802,2,1.4185591338818146,7.175768057878014e-05,1.3469280005216366
full-rank,6,2.0,0,1,-1,10.0,0.2326076463109392,2,1.233294018556731,7.494861399520632e-05,1.3469280005216366
full-rank,7,2.0,0,1,-1,10.0,0.23151483444637017,2,1.2719746787689412,6.690806499265848e-05,1.3469280005216366
full-rank,8,2.0,0,1,-1,10.0,0.23243489696414177,2,1.368748570548714,6.36981818263831e-05,1.3469280005216366
full-rank,9,2.0,0,1,-1,10.0,0.2360141645505543,2,1.4521036625671742,7.382574948211719e-05,1.3469280005216366
full-rank,0,2.0,0,1,-1,15.0,0.29217859370547017,2,1.4365016118409473,6.251009298160119e-05,1.3598117789157738
full-rank,1,2.0,0,1,-1,15.0,0.29181864978260885,2,1.4145078094090389,6.741236071952997e-05,1.3598117789157738
full-rank,2,2.0,0,1,-1,15.0,0.29034306020395045,2,1.1658519442928246,7.445384914648717e-05,1.3598117789157738
full-rank,3,2.0,0,1,-1,15.0,0.292718452131348,2,1.3401197239246938,7.268717327593301e-05,1.3598117789157738
full-rank,4,2.0,0,1,-1,15.0,0.29057385047044,2,1.4196572428028347,6.822555942084444e-05,1.3598117789157738
full-rank,5,2.0,0,1,-1,15.0,0.29075884020963066,2,1.4300290103795386,7.11821316017819e-05,1.3598117789157738
full-rank,6,2.0,0,1,-1,15.0,0.29137889611780377,2,1.2497248885408594,7.396322037510831e-05,1.3598117789157738
full-rank,7,2.0,0,1,-1,15.0,0.2892025574024088,2,1.2922801436494495,6.585674545439299e-05,1.3598117789157738
full-rank,8,2.0,0,1,-1,15.0,0.2918088439390237,2,1.3922879434770725,6.262123846571231e-05,1.3598117789157738
full-rank,9,2.0,0,1,-1,15.0,0.29353028479009086,2,1.4571574708404766,7.356970221819294e-05,1.3598117789157738
full-rank,0,2.0,0,1,-1,20.0,0.34472316391874264,2,1.4405230852743562,6.23355850679029e-05,1.3729824885435513
full-rank,1,2.0,0,1,-1,20.0,0.34510796735644705,2,1.4138833473517969,6.744213436495645e-05,1.3729824885435513
full-rank,2,2.0,0,1,-1,20.0,0.3436123747531651,2,1.187450661022932,7.309959700787974e-05,1.3729824885435513
full-rank,3,2.0,0,1,-1,20.0,0.343883236357097,2,1.365856030959865,7.131755644477002e-05,1.3729824885435513
full-rank,4,2.0,0,1,-1,20.0,0.34195591839388795,2,1.4335030963645548,6.756658553560966e-05,1.3729824885435513
full-rank,5,2.0,0,1,-1,20.0,0.34225550924014414,2,1.44346176105448,7.051971583704485e-05,1.3729824885435513
full-rank,6,2.0,0,1,-1,20.0,0.34345569043305035,2,1.2681468435418368,7.28887808301798e-05,1.3729824885435513
full-rank,7,2.0,0,1,-1,20.0,0.3413858516345071,2,1.3106761367190805,6.49324131963875e-05,1.3729824885435513
full-rank,8,2.0,0,1,-1,20.0,0.34458945231045895,2,1.4084814093930034,6.190127518899082e-05,1.3729824885435513
full-rank,9,2.0,0,1,-1,20.0,0.3464161247197995,2,1.4578425137536069,7.353513167806244e-05,1.3729824885435513
full-rank,0,2.0,0,1,-1,25.0,0.39488547901673005,2,1.4373898828414633,6.247146330742722e-05,1.3817255146957939
full-rank,1,2.0,0,1,-1,25.0,0.3941655558865326,2,1.419827223207656,6.715979883316277e-05,1.3817255146957939
full-rank,2,2.0,0,1,-1,25.0,0.3935568376929926,2,1.2100277125698868,7.173568331188394e-05,1.3817255146957939
full-rank,3,2.0,0,1,-1,25.0,0.3942044287965867,2,1.3874509337204792,7.020753831070915e-05,1.3817255146957939
full-rank,4,2.0,0,1,-1,25.0,0.3914170777488585,2,1.4363095031539999,6.743456710645468e-05,1.3817255146957939
full-rank,5,2.0,0,1,-1,25.0,0.39157657998233375,2,1.4526876163467384,7.007185307133895e-05,1.3817255146957939
full-rank,6,2.0,0,1,-1,25.0,0.3925683331462153,2,1.280665298838353,7.217629572945299e-05,1.3817255146957939
full-rank,7,2.0,0,1,-1,25.0,0.3914045757426801,2,1.318226688745464,6.45604926699532e-05,1.3817255146957939
full-rank,8,2.0,0,1,-1,25.0,0.39325987458946643,2,1.422430965987752,6.129421912638864e-05,1.3817255146957939
full-rank,9,2.0,0,1,-1,25.0,0.3968878099866648,2,1.4522393215461467,7.381885314922767e-05,1.3817255146957939
full-rank,0,2.0,0,1,-1,30.0,0.4431759723449468,2,1.4376262757084803,6.246119095183138e-05,1.3871026569654807
full-rank,1,2.0,0,1,-1,30.0,0.4435289290086734,2,1.4245515217267894,6.693707404340704e-05,1.3871026569654807
full-rank,2,2.0,0,1,-1,30.0,0.44254974779503903,2,1.2299826929980437,7.05718586787097e-05,1.3871026569654807
full-rank,3,2.0,0,1,-1,30.0,0.44334988399983777,2,1.404164267708248,6.93718796465266e-05,1.3871026569654807
full-rank,4,2.0,0,1,-1,30.0,0.44053630664987,2,1.4373319933463808,6.738659545911573e-05,1.3871026569654807
full-rank,5,2.0,0,1,-1,30.0,0.43929812547920954,2,1.4563967883158662,6.989339308342755e-05,1.3871026569654807
full-rank,6,2.0,0,1,-1,30.0,0.44072845902613134,2,1.2834886368419611,7.201752682971889e-05,1.3871026569654807
full-rank,7,2.0,0,1,-1,30.0,0.4397132244503241,2,1.321942635306019,6.437901479468283e-05,1.3871026569654807
full-rank,8,2.0,0,1,-1,30.0,0.4423241106878672,2,1.4278835871134967,6.106015651994731e-05,1.3871026569654807
full-rank,9,2.0,0,1,-1,30.0,0.44484338774881077,2,1.4476581705895213,7.405245478018718e-05,1.3871026569654807
full-rank,0,2.0,0,1,-1,35.0,0.4925785522566208,2,1.434593366390986,6.259324170046699e-05,1.3910182179896984
full-rank,1,2.0,0,1,-1,35.0,0.4923010770296062,2,1.4250474239700104,6.691378061147318e-05,1.3910182179896984
full-rank,2,2.0,0,1,-1,35.0,0.49167037690624266,2,1.2475144365915065,6.958008840737748e-05,1.3910182179896984
full-rank,3,2.0,0,1,-1,35.0,0.4909653369058422,2,1.4205428146911343,6.857203709455901e-05,1.3910182179896984
full-rank,4,2.0,0,1,-1,35.0,0.4894990658968968,2,1.442761771816866,6.713298859735196e-05,1.3910182179896984
full-rank,5,2.0,0,1,-1,35.0,0.4886240815507766,2,1.461373016673572,6.965539396841056e-05,1.3910182179896984
full-rank,6,2.0,0,1,-1,35.0,0.489590373235907,2,1.2880491368182725,7.176253971780464e-05,1.3910182179896984
full-rank,7,2.0,0,1,-1,35.0,0.4884497101845004,2,1.3208393417081503,6.443279041493973e-05,1.3910182179896984
full-rank,8,2.0,0,1,-1,35.0,0.49099964484255165,2,1.4340661265786612,6.079691424650046e-05,1.3910182179896984
full-rank,9,2.0,0,1,-1,35.0,0.49243384936553786,2,1.435394744657824,7.468512868235734e-05,1.3910182179896984
full-rank,0,2.0,0,1,-1,40.0,0.5431795755020118,2,1.4353063474910022,6.256214882722833e-05,1.3929667911479622
full-rank,1,2.0,0,1,-1,40.0,0.541617129999352,2,1.4175086212838421,6.72696513140856e-05,1.3929667911479622
full-rank,2,2.0,0,1,-1,40.0,0.5395796186083804,2,1.258788796986683,6.895689332102869e-05,1.3929667911479622
full-rank,3,2.0,0,1,-1,40.0,0.5398726962966428,2,1.4349350099197156,6.788426925959509e-05,1.3929667911479622
full-rank,4,2.0,0,1,-1,40.0,0.5382575124587093,2,1.439975992273945,6.726286416978725e-05,1.3929667911479622
full-rank,5,2.0,0,1,-1,40.0,0.5379488367038262,2,1.460754077704122,6.968490779172789e-05,1.3929667911479622
full-rank,6,2.0,0,1,-1,40.0,0.5382692650433206,2,1.290495029961866,7.162652718014471e-05,1.3929667911479622
full-rank,7,2.0,0,1,-1,40.0,0.5374990940613221,2,1.3210604898186897,6.442200423976693e-05,1.3929667911479622
full-rank,8,2.0,0,1,-1,40.0,0.5395216363692313,2,1.4462839796021145,6.0283316797438216e-05,1.3929667911479622
full-rank,9,2.0,0,1,-1,40.0,0.5407229983306218,2,1.4245595664376427,7.525318262600121e-05,1.3929667911479622
full-rank,0,2.0,0,1,-1,45.0,0.5947607815467799,2,1.438827849843028,6.240902922069103e-05,1.3931535247621465
full-rank,1,2.0,0,1,-1,45.0,0.5920077486288677,2,1.408862300847685,6.768249149054585e-05,1.3931535247621465
full-rank,2,2.0,0,1,-1,45.0,0.591505552349261,2,1.2669178638521872,6.85144374897251e-05,1.3931535247621465
full-rank,3,2.0,0,1,-1,45.0,0.5903044215428658,2,1.446839266292776,6.73257333089952e-05,1.3931535247621465
full-rank,4,2.0,0,1,-1,45.0,0.589482495592498,2,1.4320606196627623,6.76346435661962e-05,1.3931535247621465
full-rank,5,2.0,0,1,-1,45.0,0.589096188545313,2,1.4559586840781817,6.99144243063811e-05,1.3931535247621465
full-rank,6,2.0,0,1,-1,45.0,0.5892475570945594,2,1.2973401320869347,7.124860709482105e-05,1.3931535247621465
full-rank,7,2.0,0,1,-1,45.0,0.5884238598532264,2,1.3251149860173965,6.422489019754465e-05,1.3931535247621465
full-rank,8,2.0,0,1,-1,45.0,0.5906338662052656,2,1.4468772439348614,6.025859877670389e-05,1.3931535247621465
full-rank,9,2.0,0,1,-1,45.0,0.5909217395089441,2,1.412736301005652,7.588298052399246e-05,1.3931535247621465
full-rank,0,2.0,0,1,-1,50.0,0.6478339058234394,2,1.4417623618564335,6.228200409447171e-05,1.3928961576987018
full-rank,1,2.0,0,1,-1,50.0,0.6463675238879515,2,1.3948579405559298,6.836202305337976e-05,1.3928961576987018
full-rank,2,2.0,0,1,-1,50.0,0.6451509321836634,2,1.2793141066786755,6.785054923913129e-05,1.3928961576987018
full-rank,3,2.0,0,1,-1,50.0,0.6430616689506808,2,1.451052305700525,6.713025726276856e-05,1.3928961576987018
full-rank,4,2.0,0,1,-1,50.0,0.642675529144149,2,1.4198730555561034,6.821518951787016e-05,1.3928961576987018
full-rank,5,2.0,0,1,-1,50.0,0.6412919706412811,2,1.445231702362841,7.043335199800797e-05,1.3928961576987018
full-rank,6,2.0,0,1,-1,50.0,0.6409314274811533,2,1.3095376593959862,7.058497071557266e-05,1.3928961576987018
full-rank,7,2.0,0,1,-1,50.0,0.641637646826993,2,1.3324084860597605,6.387332816211973e-05,1.3928961576987018
full-rank,8,2.0,0,1,-1,50.0,0.6451334649962945,2,1.4516190341315274,6.006176088313415e-05,1.3928961576987018
full-rank,9,2.0,0,1,-1,50.0,0.6439094150882032,2,1.403304924689235,7.639297727006074e-05,1.3928961576987018
full-rank,0,2.0,0,1,-1,60.0,0.7661458856160377,2,1.433276295934893,6.265076006564793e-05,1.3883698017941235
full-rank,1,2.0,0,1,-1,60.0,0.7636023473540899,2,1.3704240422613336,6.958087989402805e-05,1.3883698017941235
full-rank,2,2.0,0,1,-1,60.0,0.7620048381913996,2,1.3065046510541773,6.643846596143291e-05,1.3883698017941235
full-rank,3,2.0,0,1,-1,60.0,0.7650517561257496,2,1.4561813014410598,6.689380950504703e-05,1.3883698017941235
full-rank,4,2.0,0,1,-1,60.0,0.7619447074665825,2,1.3835064267874464,7.000828308472867e-05,1.3883698017941235
full-rank,5,2.0,0,1,-1,60.0,0.7616299870043268,2,1.419253176680794,7.172258965751573e-05,1.3883698017941235
full-rank,6,2.0,0,1,-1,60.0,0.7588935575264364,2,1.33553257023248,6.921109930199235e-05,1.3883698017941235
full-rank,7,2.0,0,1,-1,60.0,0.7600661303155937,2,1.3331696224296279,6.38368614497744e-05,1.3883698017941235
full-rank,8,2.0,0,1,-1,60.0,0.7637531634561519,2,1.4651422264608382,5.950739371700468e-05,1.3883698017941235
full-rank,9,2.0,0,1,-1,60.0,0.762819159092914,2,1.3807077046585854,7.764325559496865e-05,1.3883698017941235
full-rank,0,2.0,0,1,-1,70.0,0.9109830545025419,2,1.4169313251457187,6.337346611711255e-05,1.3701379847047161
full-rank,1,2.0,0,1,-1,70.0,0.9077207617619903,2,1.34278038602352,7.101333299249133e-05,1.3701379847047161
full-rank,2,2.0,0,1,-1,70.0,0.9047499481058546,2,1.3197265088984558,6.577284323853466e-05,1.3701379847047161
full-rank,3,2.0,0,1,-1,70.0,0.9126593036370907,2,1.4366572564650195,6.780289045634421e-05,1.3701379847047161
