i,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE,variance,value_aggf
0,1.0,0,1,-1,85.0,1.4411145711673976,10,0.9481923831728919,0.00011350568249741398,0.9056783553507449
1,1.0,0,1,-1,85.0,1.4387630700050453,10,1.0022135493717144,0.00010922586245539523,0.9056783553507449
2,1.0,0,1,-1,85.0,1.4391964355094182,10,0.8362459875591471,0.000137120601134021,0.9056783553507449
3,1.0,0,1,-1,85.0,1.435055278732675,10,0.9453154761368254,0.00011378773754809813,0.9056783553507449
4,1.0,0,1,-1,85.0,1.441352168774353,10,0.8295094214101877,0.00011644640056721021,0.9056783553507449
5,1.0,0,1,-1,85.0,1.438599001653952,10,0.858208193758753,9.867963768824621e-05,0.9056783553507449
6,1.0,0,1,-1,85.0,1.4456741017562684,10,0.7791781725298482,0.00012501880160787187,0.9056783553507449
7,1.0,0,1,-1,85.0,1.4346051541509808,10,0.9058577284142866,0.00011857505092307464,0.9056783553507449
8,1.0,0,1,-1,85.0,1.4346836519158193,10,0.8983451958804228,0.00010859065461959725,0.9056783553507449
9,1.0,0,1,-1,85.0,1.4426913610024008,10,1.0537174452733724,9.392256420165413e-05,0.9056783553507449
0,1.0,0,1,-1,90.0,1.6466828314026927,10,0.9726184564377393,0.00011065513190554804,0.9315891438259236
1,1.0,0,1,-1,90.0,1.6430018907277926,10,1.0152018055271124,0.00010782845213496308,0.9315891438259236
2,1.0,0,1,-1,90.0,1.6474418412325886,10,0.8623115328613161,0.00013297578443551315,0.9315891438259236
3,1.0,0,1,-1,90.0,1.6369551308540486,10,0.9674877686596874,0.00011118001982374257,0.9315891438259236
4,1.0,0,1,-1,90.0,1.6475689403331952,10,0.8626624122406561,0.00011197124737232544,0.9315891438259236
5,1.0,0,1,-1,90.0,1.6446365111093442,10,0.8905394280539746,9.509705124034679e-05,0.9315891438259236
6,1.0,0,1,-1,90.0,1.6532310745505472,10,0.8180443029069969,0.000119079029121688,0.9315891438259236
7,1.0,0,1,-1,90.0,1.6395188055609655,10,0.9322357218531652,0.00011521992105415486,0.9315891438259236
8,1.0,0,1,-1,90.0,1.6395483452450543,10,0.9248960044880464,0.00010547336394757473,0.9315891438259236
9,1.0,0,1,-1,90.0,1.6441000219119093,10,1.0698940052305417,9.250247587167818e-05,0.9315891438259236
0,1.0,0,1,-1,95.0,1.9487192395672754,2,0.9911737043960309,0.00010607368580468546,0.9118281110814745
