covtype,i,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE,variance,value_aggf
full-rank,0,2.0,0,1,-1,5.0,0.10906895066192138,2,2.1923869300315975,4.097748223580431e-05,2.112301975268587
full-rank,1,2.0,0,1,-1,5.0,0.1094512632687189,2,1.893377863983622,4.8202683458752494e-05,2.112301975268587
full-rank,2,2.0,0,1,-1,5.0,0.10689072348905856,2,1.991720189094588,4.137842956082605e-05,2.112301975268587
full-rank,3,2.0,0,1,-1,5.0,0.10844383316621704,2,2.1920667349329497,4.35364119173591e-05,2.112301975268587
full-rank,4,2.0,0,1,-1,5.0,0.10881087203793832,2,2.811409832573527,3.7045807658879855e-05,2.112301975268587
full-rank,5,2.0,0,1,-1,5.0,0.10913123695188257,2,1.680392335540012,4.4499492757917954e-05,2.112301975268587
full-rank,6,2.0,0,1,-1,5.0,0.1074609058555868,2,1.987705472513507,5.520378771560893e-05,2.112301975268587
full-rank,7,2.0,0,1,-1,5.0,0.10802784940936208,2,2.4837631065018013,4.790976374090747e-05,2.112301975268587
full-rank,8,2.0,0,1,-1,5.0,0.10825270954666344,2,1.8461075200123118,5.2296452828418224e-05,2.112301975268587
full-rank,9,2.0,0,1,-1,5.0,0.10732991016295378,2,2.044089767501955,4.852760447763724e-05,2.112301975268587
full-rank,0,2.0,0,1,-1,10.0,0.17154784942806672,2,2.2030962361151305,4.0778289666454914e-05,2.0938108057792473
full-rank,1,2.0,0,1,-1,10.0,0.17204439365175253,2,1.979550972842968,4.610434138724819e-05,2.0938108057792473
full-rank,2,2.0,0,1,-1,10.0,0.16842042955036154,2,1.9669992777478258,4.18984666042624e-05,2.0938108057792473
full-rank,3,2.0,0,1,-1,10.0,0.17248873924285177,2,2.128144866986748,4.4844090175828996e-05,2.0938108057792473
full-rank,4,2.0,0,1,-1,10.0,0.17234963264909556,2,2.6842763920088926,3.8800381442783055e-05,2.0938108057792473
full-rank,5,2.0,0,1,-1,10.0,0.17156588963546485,2,1.629731502257373,4.588277667962425e-05,2.0938108057792473
