covtype,i,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE,variance,value_aggf
full-rank,0,2.0,0,1,-1,5.0,0.16301379454902096,2,0.9099336941387828,9.868394796544588e-05,0.8567724018029497
full-rank,1,2.0,0,1,-1,5.0,0.16268577566168002,2,1.0368155930805287,9.196940258697295e-05,0.8567724018029497
full-rank,2,2.0,0,1,-1,5.0,0.162505256172723,2,0.6533076798778618,0.00013286567334359933,0.8567724018029497
full-rank,3,2.0,0,1,-1,5.0,0.16301925397524972,2,0.7470054230532077,0.00013040000992934082,0.8567724018029497
full-rank,4,2.0,0,1,-1,5.0,0.16211026124709452,2,0.8906095341506901,0.00010875350629211759,0.8567724018029497
full-rank,5,2.0,0,1,-1,5.0,0.164548891595042,2,0.8715799170068664,0.00011679079706284734,0.8567724018029497
full-rank,6,2.0,0,1,-1,5.0,0.16105158900339453,2,0.7890708486381474,0.00011714243087162069,0.8567724018029497
full-rank,7,2.0,0,1,-1,5.0,0.1611172356969357,2,0.7860264007840342,0.0001082729083796658,0.8567724018029497
full-rank,8,2.0,0,1,-1,5.0,0.1616976687472179,2,0.8585403215292416,0.00010155235943504184,0.8567724018029497
full-rank,9,2.0,0,1,-1,5.0,0.16394433949747567,2,1.024834605770135,0.00010460482170602465,0.8567724018029497
full-rank,0,2.0,0,1,-1,10.0,0.2345579917016915,2,1.0501109090268002,8.551082419248145e-05,0.9957865301996935
full-rank,1,2.0,0,1,-1,10.0,0.233481149044226,2,1.1631344556196368,8.198133090097107e-05,0.9957865301996935
full-rank,2,2.0,0,1,-1,10.0,0.2320075680276226,2,0.771096077621949,0.00011256984350797577,0.9957865301996935
full-rank,3,2.0,0,1,-1,10.0,0.2339395445342436,2,0.8973533257881471,0.0001085520182341273,0.9957865301996935
full-rank,4,2.0,0,1,-1,10.0,0.23354022956513001,2,1.0420719847241438,9.294646722675002e-05,0.9957865301996935
full-rank,5,2.0,0,1,-1,10.0,0.23346092123841802,2,1.029751824239249,9.88515007355327e-05,0.9957865301996935
full-rank,6,2.0,0,1,-1,10.0,0.2326076463109392,2,0.9016560851941146,0.00010251544780458672,0.9957865301996935
full-rank,7,2.0,0,1,-1,10.0,0.23151483444637017,2,0.9332507879811389,9.119238426810543e-05,0.9957865301996935
full-rank,8,2.0,0,1,-1,10.0,0.23243489696414177,2,0.9962597037258929,8.751412407361824e-05,0.9957865301996935
full-rank,9,2.0,0,1,-1,10.0,0.2360141645505543,2,1.1731801480758648,9.137781728626444e-05,0.9957865301996935
full-rank,0,2.0,0,1,-1,15.0,0.29217859370547017,2,1.1370095464238565,7.897545768795447e-05,1.083043490752726
full-rank,1,2.0,0,1,-1,15.0,0.29181864978260885,2,1.23410920177359,7.726650976383222e-05,1.083043490752726
full-rank,2,2.0,0,1,-1,15.0,0.29034306020395045,2,0.8505722318953631,0.00010205149137550858,1.083043490752726
full-rank,3,2.0,0,1,-1,15.0,0.292718452131348,2,0.9989537860395105,9.751153251003045e-05,1.083043490752726
full-rank,4,2.0,0,1,-1,15.0,0.29057385047044,2,1.1413103689714144,8.486465400587533e-05,1.083043490752726
full-rank,5,2.0,0,1,-1,15.0,0.29075884020963066,2,1.1277770267446334,9.025943142770854e-05,1.083043490752726
full-rank,6,2.0,0,1,-1,15.0,0.29137889611780377,2,0.9765998448254136,9.46484661339769e-05,1.083043490752726
full-rank,7,2.0,0,1,-1,15.0,0.2892025574024088,2,1.0216459102336923,8.330221226708687e-05,1.083043490752726
full-rank,8,2.0,0,1,-1,15.0,0.2918088439390237,2,1.088910146273033,8.006794281403706e-05,1.083043490752726
full-rank,9,2.0,0,1,-1,15.0,0.29353028479009086,2,1.2535468443467537,8.551945361931353e-05,1.083043490752726
full-rank,0,2.0,0,1,-1,20.0,0.34472316391874264,2,1.2031140212595037,7.463619219597576e-05,1.1479579761658185
full-rank,1,2.0,0,1,-1,20.0,0.34510796735644705,2,1.2824132382426163,7.435614967539368e-05,1.1479579761658185
full-rank,2,2.0,0,1,-1,20.0,0.3436123747531651,2,0.9139039996628142,9.49795217216934e-05,1.1479579761658185
full-rank,3,2.0,0,1,-1,20.0,0.343883236357097,2,1.077979503764447,9.036304887360364e-05,1.1479579761658185
full-rank,4,2.0,0,1,-1,20.0,0.34195591839388795,2,1.2129806618939782,7.985033283617415e-05,1.1479579761658185
