eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE
1.0,0,1,-1,70.0,1.0362759574395093,10,0.9276681895476196
1.0,0,1,-1,75.0,1.1475329447035556,2,0.9014682324320302
1.0,0,1,-1,75.0,1.149845358901293,10,0.9528001349540197
1.0,0,1,-1,80.0,1.2781066638719012,2,0.9236843251915033
1.0,0,1,-1,80.0,1.281838069905198,2,0.919627381179288
1.0,0,1,-1,80.0,1.281922116231316,5,0.9090786885403537
1.0,0,1,-1,80.0,1.2804730474671409,10,0.9701758449015051
1.0,0,1,-1,82.13,1.3407872929798619,2,0.9325028363856319
1.0,0,1,-1,82.13,1.3445189419938077,2,0.9301043017200985
1.0,0,1,-1,82.13,1.3450339368320523,5,0.9215582302913354
1.0,0,1,-1,82.13,1.3436485615559473,10,0.9765333823372201
1.0,0,1,-1,85.0,1.4355763883951125,2,0.9448620317468579
1.0,0,1,-1,85.0,1.438860459280264,2,0.9423260698200423
1.0,0,1,-1,85.0,1.4390637871631766,5,0.9373374237299507
1.0,0,1,-1,85.0,1.439173479466831,10,0.9847600826830888
1.0,0,1,-1,90.0,1.6399461884509634,2,0.9657331021467389
1.0,0,1,-1,90.0,1.643949391823675,2,0.961140969989334
1.0,0,1,-1,90.0,1.6450235480445845,5,0.9631897857650698
1.0,0,1,-1,90.0,1.6442685392928138,10,0.9950641117856925
1.0,0,1,-1,95.0,1.9503358093132461,2,0.9852243074861178
1.0,0,1,-1,95.0,1.9574987383218225,2,0.9787448342638442
1.0,0,1,-1,95.0,1.9569280817959815,5,0.9803704516943081
1.0,0,1,-1,95.0,1.9576732505602308,10,0.9995846297822937
1.0,0,1,-1,99.0,2.550138518498888,2,0.9955925738858843
1.0,0,1,-1,99.0,2.5645083207714174,2,0.9961514856390323
1.0,0,1,-1,99.0,2.559502259846301,5,0.9911200230758557
1.0,0,1,-1,99.0,2.5632488728641776,10,0.9990571146656955
1.0,0,1,-1,99.73,2.9384112560511246,2,0.9990337146351909
1.0,0,1,-1,99.73,2.9527055323316196,2,0.9985441828028833
1.0,0,1,-1,99.73,2.947800610966103,5,0.9957184265471382
1.0,0,1,-1,99.73,2.9550559783823362,10,0.9995354346156627
2.0,0,1,-1,50.0,0.8318414834681516,2,0.9101912348954049
2.0,0,1,-1,60.0,0.9567481467602346,2,0.9419525363983672
2.0,0,1,-1,60.0,0.956837453961146,20,0.9117264735457924
2.0,0,1,-1,70.0,1.0972282019631066,2,0.963640368228315
2.0,0,1,-1,70.0,1.09655982829407,20,0.9412786504947054
2.0,0,1,-1,75.0,1.1773769748519305,2,0.9733509047587434
2.0,0,1,-1,75.0,1.1762580433144845,20,0.9540048393336356
2.0,0,1,-1,80.0,1.2693500074475554,2,0.9804292368605612
2.0,0,1,-1,80.0,1.267234167631388,20,0.9643277538234856
2.0,0,1,-1,82.13,1.3133270128891703,2,0.9828114411177099
2.0,0,1,-1,82.13,1.3104709359308808,20,0.9682818002259366
2.0,0,1,-1,85.0,1.3780791744055807,2,0.9859893554188842
2.0,0,1,-1,85.0,1.3758488719474087,20,0.9738005739292592
2.0,0,1,-1,90.0,1.5169923492611264,2,0.9905274048674858
2.0,0,1,-1,90.0,1.5146497990755647,20,0.9826113603393395
2.0,0,1,-1,95.0,1.7292175478627136,2,0.9940588811305243
2.0,0,1,-1,95.0,1.7278455125057355,20,0.9903481891302377
2.0,0,1,-1,99.0,2.1320475088261204,2,0.9981773026610858
2.0,0,1,-1,99.0,2.1324935657340447,20,0.998768821044183
2.0,0,1,-1,99.73,2.3863527138385403,2,0.9993710741231793
2.0,0,1,-1,99.73,2.395971761111955,20,1.0000077402168963
2.5,0,1,-1,40.0,0.7870817064980468,5,0.9028403943983973
2.5,0,1,-1,45.0,0.8318892188949321,5,0.9174134848448757
2.5,0,1,-1,50.0,0.8776628231216808,5,0.9296809581861012
2.5,0,1,-1,60.0,0.9760386813253943,5,0.9496742537496923
