cov_type,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE
full-rank,2.0,0,1,-1,5.0,0.1082868254550303,2,1.27903751686954
full-rank,2.0,0,1,-1,10.0,0.1707217183631534,2,1.4684741486885076
full-rank,2.0,0,1,-1,15.0,0.2264936940439119,2,1.578814289474496
full-rank,2.0,0,1,-1,20.0,0.2805119792864756,2,1.6351408179353906
full-rank,2.0,0,1,-1,25.0,0.334250141952478,2,1.653474376753974
full-rank,2.0,0,1,-1,30.0,0.3885332369401525,2,1.6562613125966286
full-rank,2.0,0,1,-1,35.0,0.4439800171466638,2,1.641783266949165
full-rank,2.0,0,1,-1,40.0,0.5022692091632878,2,1.6151300318602968
full-rank,2.0,0,1,-1,45.0,0.5634646380197034,2,1.587174488488552
full-rank,2.0,0,1,-1,50.0,0.6281991967436921,2,1.5515821738875395
full-rank,2.0,0,1,-1,60.0,0.7745432687347426,2,1.458937405206442
full-rank,2.0,0,1,-1,70.0,0.956593803795422,2,1.3533916806262538
full-rank,2.0,0,1,-1,75.0,1.068509201329712,2,1.3002537505848355
full-rank,2.0,0,1,-1,80.0,1.2028301815629705,2,1.2428721608975426
full-rank,2.0,0,1,-1,82.13,1.2692033711523072,2,1.2186291565557874
full-rank,2.0,0,1,-1,85.0,1.3710678395738596,2,1.183645829147855
full-rank,2.0,0,1,-1,90.0,1.6047909396166855,2,1.118991451916323
full-rank,2.0,0,1,-1,95.0,1.995498619381582,2,1.0516660539071443
full-rank,2.0,0,1,-1,99.0,2.8536737215178274,2,0.984453775429046
full-rank,2.0,0,1,-1,99.73,3.4971368182535305,2,0.9675646691104102
full-rank,5.0,0,1,-1,5.0,0.1799325429941596,5,2.098891926499824
full-rank,5.0,0,1,-1,10.0,0.260422671592178,5,2.0635061011839144
full-rank,5.0,0,1,-1,15.0,0.3275718059990432,5,2.0147212960401557
full-rank,5.0,0,1,-1,20.0,0.3883476095833618,5,1.9503051325040035
full-rank,5.0,0,1,-1,25.0,0.4460920441494213,5,1.8756909273399367
full-rank,5.0,0,1,-1,30.0,0.5030933922373789,5,1.79928923918612
full-rank,5.0,0,1,-1,35.0,0.559681630065134,5,1.7283187833984608
full-rank,5.0,0,1,-1,40.0,0.616543263896537,5,1.6610684864155638
full-rank,5.0,0,1,-1,45.0,0.6750164449168623,5,1.595538857883423
full-rank,5.0,0,1,-1,50.0,0.7358453353252236,5,1.5319287432029272
full-rank,5.0,0,1,-1,60.0,0.8704909423619807,5,1.4163619086490136
full-rank,5.0,0,1,-1,70.0,1.0297350139360597,5,1.3070922482777667
full-rank,5.0,0,1,-1,75.0,1.125501028157113,5,1.2530557368299862
full-rank,5.0,0,1,-1,80.0,1.237120856821227,5,1.2032204637666366
full-rank,5.0,0,1,-1,82.13,1.2922485087229705,5,1.1817035281272523
full-rank,5.0,0,1,-1,85.0,1.3763376867874944,5,1.1532634470382217
full-rank,5.0,0,1,-1,90.0,1.5641188499979548,5,1.1027807929173772
full-rank,5.0,0,1,-1,95.0,1.870136171724076,5,1.0496111567271025
full-rank,5.0,0,1,-1,99.0,2.5186109611838736,5,0.9989235999404243
full-rank,5.0,0,1,-1,99.73,2.983229101702104,5,0.9860719383699972
full-rank,10.000000000000002,0,1,-1,5.0,0.2047572791063951,10,2.555237261511631
full-rank,10.000000000000002,0,1,-1,10.0,0.2939369465636555,10,2.3553771450220085
full-rank,10.000000000000002,0,1,-1,15.0,0.3657350299791224,10,2.195106632907746
full-rank,10.000000000000002,0,1,-1,20.0,0.4301376771491549,10,2.0585713523679194
full-rank,10.000000000000002,0,1,-1,25.0,0.4906048336445515,10,1.934675749531641
full-rank,10.000000000000002,0,1,-1,30.0,0.5488097185702943,10,1.8282487136811696
full-rank,10.000000000000002,0,1,-1,35.0,0.6064321960479647,10,1.7336207257892906
full-rank,10.000000000000002,0,1,-1,40.0,0.6637371639431391,10,1.6516814194514315
full-rank,10.000000000000002,0,1,-1,45.0,0.721935746534547,10,1.5773357961388952
full-rank,10.000000000000002,0,1,-1,50.0,0.7814077915029317,10,1.5104643050602702
full-rank,10.000000000000002,0,1,-1,60.0,0.910287308834488,10,1.392037216767766
full-rank,10.000000000000002,0,1,-1,70.0,1.0597686468235148,10,1.2877566201069526
full-rank,10.000000000000002,0,1,-1,75.0,1.148169707168098,10,1.23970316911465
full-rank,10.000000000000002,0,1,-1,80.0,1.2515067192801523,10,1.1929901425483875
full-rank,10.000000000000002,0,1,-1,82.13,1.3014861770420478,10,1.173385213750611
full-rank,10.000000000000002,0,1,-1,85.0,1.3768094197594742,10,1.1469465615805332
full-rank,10.000000000000002,0,1,-1,90.0,1.5431140928929317,10,1.1015498243537416
full-rank,10.000000000000002,0,1,-1,95.0,1.8071085988590767,10,1.056129447359203
full-rank,10.000000000000002,0,1,-1,99.0,2.3607810678479004,10,1.0155819996855855
full-rank,10.000000000000002,0,1,-1,99.73,2.748708846443285,10,1.006324713918398
full-rank,20.000000000000004,0,1,-1,5.0,0.2170131524951985,20,2.732471768843374
full-rank,20.000000000000004,0,1,-1,10.0,0.3107762749510287,20,2.487491201081394
full-rank,20.000000000000004,0,1,-1,15.0,0.3857050007802207,20,2.2687451996429115
full-rank,20.000000000000004,0,1,-1,20.0,0.4520358378135105,20,2.09344961430545
full-rank,20.000000000000004,0,1,-1,25.0,0.5139323503842484,20,1.9491539391319883
full-rank,20.000000000000004,0,1,-1,30.0,0.5729703200675147,20,1.8296679875122572
full-rank,20.000000000000004,0,1,-1,35.0,0.6308950238360369,20,1.728523692478915
full-rank,20.000000000000004,0,1,-1,40.0,0.6883415044594843,20,1.6409831769156034
full-rank,20.000000000000004,0,1,-1,45.0,0.7461497174173537,20,1.563133083192226
full-rank,20.000000000000004,0,1,-1,50.0,0.8056256419015929,20,1.4941026762349612
full-rank,20.000000000000004,0,1,-1,60.0,0.931432805625298,20,1.3743313402647557
full-rank,20.000000000000004,0,1,-1,70.0,1.0755775052541756,20,1.273046993476454
full-rank,20.000000000000004,0,1,-1,75.0,1.1594113084737514,20,1.2271595953191896
full-rank,20.000000000000004,0,1,-1,80.0,1.2559494118347598,20,1.1833284178994017
full-rank,20.000000000000004,0,1,-1,82.13,1.3029824422080687,20,1.1654859081731177
full-rank,20.000000000000004,0,1,-1,85.0,1.3731188293487018,20,1.1409565273460516
full-rank,20.000000000000004,0,1,-1,90.0,1.5272819305052314,20,1.098383297157676
full-rank,20.000000000000004,0,1,-1,95.0,1.7676179744295897,20,1.0560814708268886
full-rank,20.000000000000004,0,1,-1,99.0,2.256096222551964,20,1.0197740403002418
full-rank,20.000000000000004,0,1,-1,99.73,2.59333851643641,20,1.0125215297206414
full-rank,50.0,0,1,-1,5.0,0.2236319064858236,50,2.862012221381728
full-rank,50.0,0,1,-1,10.0,0.3188976579862718,50,2.548832265672107
full-rank,50.0,0,1,-1,15.0,0.3960955824046331,50,2.2998190966868304
full-rank,50.0,0,1,-1,20.0,0.4644015799896271,50,2.101334703729798
full-rank,50.0,0,1,-1,25.0,0.5272408015332475,50,1.944198864557577
full-rank,50.0,0,1,-1,30.0,0.5874655497667889,50,1.814879564905324
