cov_type,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE
full-rank,2.0,0,1,-1,5.0,0.1625694066145834,2,0.3022069784186912
full-rank,2.0,0,1,-1,10.0,0.2333558946383336,2,0.6384395439411097
full-rank,2.0,0,1,-1,15.0,0.2914312028752775,2,0.878723249737771
full-rank,2.0,0,1,-1,20.0,0.34373852891173,2,1.050320615811477
full-rank,2.0,0,1,-1,25.0,0.393392655258906,2,1.16545667243728
full-rank,2.0,0,1,-1,30.0,0.4420048147190711,2,1.2444701704164651
full-rank,2.0,0,1,-1,35.0,0.4907112068174482,2,1.3008978830869316
full-rank,2.0,0,1,-1,40.0,0.5396468363373418,2,1.3414089588800642
full-rank,2.0,0,1,-1,45.0,0.5906384210867581,2,1.370946693390983
full-rank,2.0,0,1,-1,50.0,0.643799348502381,2,1.3923823160141766
full-rank,2.0,0,1,-1,60.0,0.7625911532149282,2,1.4095378533581486
full-rank,2.0,0,1,-1,70.0,0.9082104401641862,2,1.3929837604768744
full-rank,2.0,0,1,-1,75.0,0.999632622859594,2,1.3741750139169902
full-rank,2.0,0,1,-1,80.0,1.111035587690766,2,1.347090681591617
full-rank,2.0,0,1,-1,82.13,1.1677660709583932,2,1.331852952558028
full-rank,2.0,0,1,-1,85.0,1.2562247194724647,2,1.308066223869967
full-rank,2.0,0,1,-1,90.0,1.4691247683627635,2,1.2541551542065708
full-rank,2.0,0,1,-1,95.0,1.8597123723650135,2,1.1754943740753694
full-rank,2.0,0,1,-1,99.0,2.9715348367899184,2,1.0505973879489987
full-rank,2.0,0,1,-1,99.73,4.134833065238011,2,0.9960938088258642
full-rank,5.0,0,1,-1,5.0,0.3112696581525277,5,1.2897585050676497
full-rank,5.0,0,1,-1,10.0,0.3770587455611032,5,1.4330799180951852
full-rank,5.0,0,1,-1,15.0,0.4279578891310079,5,1.4892331422849163
full-rank,5.0,0,1,-1,20.0,0.4727085032921359,5,1.51387620164437
full-rank,5.0,0,1,-1,25.0,0.5140475924591125,5,1.525197281298455
full-rank,5.0,0,1,-1,30.0,0.5542627819799936,5,1.5284272139466868
full-rank,5.0,0,1,-1,35.0,0.5942678379373885,5,1.525724576136498
full-rank,5.0,0,1,-1,40.0,0.6347829732784602,5,1.5181820245618876
full-rank,5.0,0,1,-1,45.0,0.6766922334173984,5,1.5080591235134244
full-rank,5.0,0,1,-1,50.0,0.7203907583481264,5,1.495197176598327
full-rank,5.0,0,1,-1,60.0,0.8182327732827019,5,1.4599753265265245
full-rank,5.0,0,1,-1,70.0,0.9404436412615104,5,1.4128680100615207
full-rank,5.0,0,1,-1,75.0,1.017823848834451,5,1.382327566820988
full-rank,5.0,0,1,-1,80.0,1.1134320031001623,5,1.348215700022141
full-rank,5.0,0,1,-1,82.13,1.1620836815793365,5,1.3313535927542437
full-rank,5.0,0,1,-1,85.0,1.2383315758774631,5,1.3076371273685798
full-rank,5.0,0,1,-1,90.0,1.4219042802654749,5,1.2578770145130318
