cov_type,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE
full-rank,2.0,0,1,-1,5.0,0.1082868254550303,2,2.1405193099081794
full-rank,2.0,0,1,-1,10.0,0.1707217183631534,2,2.047314985201688
full-rank,2.0,0,1,-1,15.0,0.2264936940439119,2,1.973459191868473
full-rank,2.0,0,1,-1,20.0,0.2805119792864756,2,1.9092634991081363
full-rank,2.0,0,1,-1,25.0,0.334250141952478,2,1.848729683038848
full-rank,2.0,0,1,-1,30.0,0.3885332369401525,2,1.7931596494114663
full-rank,2.0,0,1,-1,35.0,0.4439800171466638,2,1.740989200457939
full-rank,2.0,0,1,-1,40.0,0.5022692091632878,2,1.6895081198048514
full-rank,2.0,0,1,-1,45.0,0.5634646380197034,2,1.6424441507601453
full-rank,2.0,0,1,-1,50.0,0.6281991967436921,2,1.5955492606851125
full-rank,2.0,0,1,-1,60.0,0.7745432687347426,2,1.4974633281457612
full-rank,2.0,0,1,-1,70.0,0.956593803795422,2,1.3933960728924988
full-rank,2.0,0,1,-1,75.0,1.068509201329712,2,1.339062890793382
full-rank,2.0,0,1,-1,80.0,1.2028301815629705,2,1.2820205797308992
full-rank,2.0,0,1,-1,82.13,1.2692033711523072,2,1.2572130798450432
full-rank,2.0,0,1,-1,85.0,1.3710678395738596,2,1.2222757470471977
full-rank,2.0,0,1,-1,90.0,1.6047909396166855,2,1.1588354947324997
full-rank,2.0,0,1,-1,95.0,1.995498619381582,2,1.0880206133709347
full-rank,2.0,0,1,-1,99.0,2.8536737215178274,2,1.0200226412607285
full-rank,2.0,0,1,-1,99.73,3.4971368182535305,2,1.0053414316080822
full-rank,5.0,0,1,-1,5.0,0.1799325429941596,5,2.272072868427947
full-rank,5.0,0,1,-1,10.0,0.260422671592178,5,2.1064517745324776
full-rank,5.0,0,1,-1,15.0,0.3275718059990432,5,1.986772623624524
full-rank,5.0,0,1,-1,20.0,0.3883476095833618,5,1.8909362051876832
full-rank,5.0,0,1,-1,25.0,0.4460920441494213,5,1.806873451188872
full-rank,5.0,0,1,-1,30.0,0.5030933922373789,5,1.7325157875900947
full-rank,5.0,0,1,-1,35.0,0.559681630065134,5,1.6661753898838083
full-rank,5.0,0,1,-1,40.0,0.616543263896537,5,1.605717549739006
full-rank,5.0,0,1,-1,45.0,0.6750164449168623,5,1.5491489152604807
full-rank,5.0,0,1,-1,50.0,0.7358453353252236,5,1.4956473069781335
full-rank,5.0,0,1,-1,60.0,0.8704909423619807,5,1.3962890281296751
full-rank,5.0,0,1,-1,70.0,1.0297350139360597,5,1.3044788981954432
full-rank,5.0,0,1,-1,75.0,1.125501028157113,5,1.258478389113784
full-rank,5.0,0,1,-1,80.0,1.237120856821227,5,1.2127633721809652
full-rank,5.0,0,1,-1,82.13,1.2922485087229705,5,1.1929132840487462
full-rank,5.0,0,1,-1,85.0,1.3763376867874944,5,1.166347935299405
full-rank,5.0,0,1,-1,90.0,1.5641188499979548,5,1.117223731040501
full-rank,5.0,0,1,-1,95.0,1.870136171724076,5,1.065267193166267
full-rank,5.0,0,1,-1,99.0,2.5186109611838736,5,1.017584599477714
full-rank,5.0,0,1,-1,99.73,2.983229101702104,5,1.0056413499720258
full-rank,10.000000000000002,0,1,-1,5.0,0.2047572791063951,10,2.3440510433862034
full-rank,10.000000000000002,0,1,-1,10.0,0.2939369465636555,10,2.147412407985157
full-rank,10.000000000000002,0,1,-1,15.0,0.3657350299791224,10,2.0090260056862617
full-rank,10.000000000000002,0,1,-1,20.0,0.4301376771491549,10,1.89693477297723
full-rank,10.000000000000002,0,1,-1,25.0,0.4906048336445515,10,1.803724113499961
full-rank,10.000000000000002,0,1,-1,30.0,0.5488097185702943,10,1.72226545042527
full-rank,10.000000000000002,0,1,-1,35.0,0.6064321960479647,10,1.6492304899184942
full-rank,10.000000000000002,0,1,-1,40.0,0.6637371639431391,10,1.58420378864716
full-rank,10.000000000000002,0,1,-1,45.0,0.721935746534547,10,1.5246439361415756
full-rank,10.000000000000002,0,1,-1,50.0,0.7814077915029317,10,1.4698959028491485
full-rank,10.000000000000002,0,1,-1,60.0,0.910287308834488,10,1.3670457162606542
full-rank,10.000000000000002,0,1,-1,70.0,1.0597686468235148,10,1.2742662909151592
full-rank,10.000000000000002,0,1,-1,75.0,1.148169707168098,10,1.2303439190111978
full-rank,10.000000000000002,0,1,-1,80.0,1.2515067192801523,10,1.1865718327320625
full-rank,10.000000000000002,0,1,-1,82.13,1.3014861770420478,10,1.1681932168745126
full-rank,10.000000000000002,0,1,-1,85.0,1.3768094197594742,10,1.1442875270638055
full-rank,10.000000000000002,0,1,-1,90.0,1.5431140928929317,10,1.101982154417785
full-rank,10.000000000000002,0,1,-1,95.0,1.8071085988590767,10,1.0579766792295422
full-rank,10.000000000000002,0,1,-1,99.0,2.3607810678479004,10,1.0156073831612955
full-rank,10.000000000000002,0,1,-1,99.73,2.748708846443285,10,1.0049129854650465
full-rank,20.000000000000004,0,1,-1,5.0,0.2170131524951985,20,2.3723722703275514
full-rank,20.000000000000004,0,1,-1,10.0,0.3107762749510287,20,2.1630335668363263
full-rank,20.000000000000004,0,1,-1,15.0,0.3857050007802207,20,2.0176534720643096
full-rank,20.000000000000004,0,1,-1,20.0,0.4520358378135105,20,1.9018696234546564
full-rank,20.000000000000004,0,1,-1,25.0,0.5139323503842484,20,1.8041595724912871
full-rank,20.000000000000004,0,1,-1,30.0,0.5729703200675147,20,1.7192225963597825
full-rank,20.000000000000004,0,1,-1,35.0,0.6308950238360369,20,1.6430868030213004
full-rank,20.000000000000004,0,1,-1,40.0,0.6883415044594843,20,1.574146301616926
full-rank,20.000000000000004,0,1,-1,45.0,0.7461497174173537,20,1.5116594289450904
full-rank,20.000000000000004,0,1,-1,50.0,0.8056256419015929,20,1.453763083278359
full-rank,20.000000000000004,0,1,-1,60.0,0.931432805625298,20,1.3494608763378062
full-rank,20.000000000000004,0,1,-1,70.0,1.0755775052541756,20,1.2568325715669906
full-rank,20.000000000000004,0,1,-1,75.0,1.1594113084737514,20,1.2140130995132363
full-rank,20.000000000000004,0,1,-1,80.0,1.2559494118347598,20,1.1724590269013428
full-rank,20.000000000000004,0,1,-1,82.13,1.3029824422080687,20,1.1549268948842553
full-rank,20.000000000000004,0,1,-1,85.0,1.3731188293487018,20,1.1318166207855636
full-rank,20.000000000000004,0,1,-1,90.0,1.5272819305052314,20,1.0909283304182027
full-rank,20.000000000000004,0,1,-1,95.0,1.7676179744295897,20,1.048771760911766
full-rank,20.000000000000004,0,1,-1,99.0,2.256096222551964,20,1.0108977029835575
full-rank,20.000000000000004,0,1,-1,99.73,2.59333851643641,20,1.0031583036281058
full-rank,50.0,0,1,-1,5.0,0.2236319064858236,50,2.377152131353491
full-rank,50.0,0,1,-1,10.0,0.3188976579862718,50,2.1644462952798125
full-rank,50.0,0,1,-1,15.0,0.3960955824046331,50,2.0125488541783154
full-rank,50.0,0,1,-1,20.0,0.4644015799896271,50,1.8929175764003316
full-rank,50.0,0,1,-1,25.0,0.5272408015332475,50,1.7937846629093244
full-rank,50.0,0,1,-1,30.0,0.5874655497667889,50,1.7071521343660483
full-rank,50.0,0,1,-1,35.0,0.6458487916839595,50,1.630393507957007
full-rank,50.0,0,1,-1,40.0,0.703604147714894,50,1.561375700953715
full-rank,50.0,0,1,-1,45.0,0.7625380442111106,50,1.497257535683864
full-rank,50.0,0,1,-1,50.0,0.822083933871775,50,1.4396477084154016
full-rank,50.0,0,1,-1,60.0,0.9473089309115992,50,1.3362593711339523
full-rank,50.0,0,1,-1,70.0,1.0893896670665384,50,1.243970701464563
full-rank,50.0,0,1,-1,75.0,1.1705953788514438,50,1.201465416520077
full-rank,50.0,0,1,-1,80.0,1.263831569051436,50,1.1607415072426523
