cov_type,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE
full-rank,2.0,0,1,-1,5.0,0.1625694066145834,2,1.3320442609255043
full-rank,2.0,0,1,-1,10.0,0.2333558946383336,2,1.3467739977069175
full-rank,2.0,0,1,-1,15.0,0.2914312028752775,2,1.3601883348828196
full-rank,2.0,0,1,-1,20.0,0.34373852891173,2,1.3739000511084256
full-rank,2.0,0,1,-1,25.0,0.393392655258906,2,1.3828937569196638
full-rank,2.0,0,1,-1,30.0,0.4420048147190711,2,1.3884595272976
full-rank,2.0,0,1,-1,35.0,0.4907112068174482,2,1.3923372430106706
full-rank,2.0,0,1,-1,40.0,0.5396468363373418,2,1.394128292220196
full-rank,2.0,0,1,-1,45.0,0.5906384210867581,2,1.3942091049946714
full-rank,2.0,0,1,-1,50.0,0.643799348502381,2,1.393894369027071
full-rank,2.0,0,1,-1,60.0,0.7625911532149282,2,1.3884915425548114
full-rank,2.0,0,1,-1,70.0,0.9082104401641862,2,1.3694701403843832
full-rank,2.0,0,1,-1,75.0,0.999632622859594,2,1.3524995131097612
full-rank,2.0,0,1,-1,80.0,1.111035587690766,2,1.329780269501299
full-rank,2.0,0,1,-1,82.13,1.1677660709583932,2,1.3171964752484246
full-rank,2.0,0,1,-1,85.0,1.2562247194724647,2,1.2970608206509289
full-rank,2.0,0,1,-1,90.0,1.4691247683627635,2,1.2518515761665228
full-rank,2.0,0,1,-1,95.0,1.8597123723650135,2,1.1893125924433023
full-rank,2.0,0,1,-1,99.0,2.9715348367899184,2,1.0887278417527184
full-rank,2.0,0,1,-1,99.73,4.134833065238011,2,1.0490129264874586
full-rank,5.0,0,1,-1,5.0,0.3112696581525277,5,1.5770479352318614
full-rank,5.0,0,1,-1,10.0,0.3770587455611032,5,1.578012419595219
full-rank,5.0,0,1,-1,15.0,0.4279578891310079,5,1.5771037805663144
full-rank,5.0,0,1,-1,20.0,0.4727085032921359,5,1.575566583024371
full-rank,5.0,0,1,-1,25.0,0.5140475924591125,5,1.5707617882916427
full-rank,5.0,0,1,-1,30.0,0.5542627819799936,5,1.5630892323572891
full-rank,5.0,0,1,-1,35.0,0.5942678379373885,5,1.5533110924791818
full-rank,5.0,0,1,-1,40.0,0.6347829732784602,5,1.5410956192173746
full-rank,5.0,0,1,-1,45.0,0.6766922334173984,5,1.5261880300402622
full-rank,5.0,0,1,-1,50.0,0.7203907583481264,5,1.5095635179948517
full-rank,5.0,0,1,-1,60.0,0.8182327732827019,5,1.4693918065103675
full-rank,5.0,0,1,-1,70.0,0.9404436412615104,5,1.4188201300313257
full-rank,5.0,0,1,-1,75.0,1.017823848834451,5,1.387768266213959
full-rank,5.0,0,1,-1,80.0,1.1134320031001623,5,1.3506481021749457
full-rank,5.0,0,1,-1,82.13,1.1620836815793365,5,1.3322632507486347
full-rank,5.0,0,1,-1,85.0,1.2383315758774631,5,1.3053560691739776
full-rank,5.0,0,1,-1,90.0,1.4219042802654749,5,1.2509944815013434
full-rank,5.0,0,1,-1,95.0,1.7652202032298885,5,1.178321593467322
full-rank,5.0,0,1,-1,99.0,2.752380513119429,5,1.07700046482683
full-rank,5.0,0,1,-1,99.73,3.791960027375261,5,1.040076625930436
full-rank,10.000000000000002,0,1,-1,5.0,0.3801242686225601,10,1.6374638371546129
full-rank,10.000000000000002,0,1,-1,10.0,0.4389519156658168,10,1.62745481486192
full-rank,10.000000000000002,0,1,-1,15.0,0.4840560025602581,10,1.6160748275916672
full-rank,10.000000000000002,0,1,-1,20.0,0.5234464495538671,10,1.603130875209988
full-rank,10.000000000000002,0,1,-1,25.0,0.5602128063455841,10,1.5888383484316235
full-rank,10.000000000000002,0,1,-1,30.0,0.5959433611095203,10,1.5734993981838736
full-rank,10.000000000000002,0,1,-1,35.0,0.6316697829870371,10,1.556500575777972
full-rank,10.000000000000002,0,1,-1,40.0,0.6682085002459363,10,1.538266796870533
full-rank,10.000000000000002,0,1,-1,45.0,0.7061931357909654,10,1.5181453032930392
full-rank,10.000000000000002,0,1,-1,50.0,0.7462415426243463,10,1.4964524731993831
full-rank,10.000000000000002,0,1,-1,60.0,0.835487570760667,10,1.4495781218160022
full-rank,10.000000000000002,0,1,-1,70.0,0.9487625160849144,10,1.3917924354695173
full-rank,10.000000000000002,0,1,-1,75.0,1.020208289693984,10,1.3586659680291462
full-rank,10.000000000000002,0,1,-1,80.0,1.1090898842295207,10,1.3216337544451
full-rank,10.000000000000002,0,1,-1,82.13,1.1542954798309797,10,1.304740045736125
full-rank,10.000000000000002,0,1,-1,85.0,1.226080259989938,10,1.279773601767226
full-rank,10.000000000000002,0,1,-1,90.0,1.4000089321454452,10,1.2275007945742764
full-rank,10.000000000000002,0,1,-1,95.0,1.720985976410524,10,1.161819199203304
full-rank,10.000000000000002,0,1,-1,99.0,2.6702350841125444,10,1.0685908975451486
full-rank,10.000000000000002,0,1,-1,99.73,3.675607258421747,10,1.0331501440692283
full-rank,20.000000000000004,0,1,-1,5.0,0.4190214205032611,20,1.6764153104932078
full-rank,20.000000000000004,0,1,-1,10.0,0.4723568176495242,20,1.6628697096695575
full-rank,20.000000000000004,0,1,-1,15.0,0.5139256523870351,20,1.6477473020183475
full-rank,20.000000000000004,0,1,-1,20.0,0.5505286028581976,20,1.631385505324187
full-rank,20.000000000000004,0,1,-1,25.0,0.5850318438797781,20,1.613915635102574
full-rank,20.000000000000004,0,1,-1,30.0,0.6182547601995936,20,1.5957312956944236
full-rank,20.000000000000004,0,1,-1,35.0,0.6517754875888283,20,1.5761991514706888
full-rank,20.000000000000004,0,1,-1,40.0,0.686015934629892,20,1.5551424488228476
full-rank,20.000000000000004,0,1,-1,45.0,0.7213767073953996,20,1.5327647041085726
full-rank,20.000000000000004,0,1,-1,50.0,0.7594158143537282,20,1.508264927219035
full-rank,20.000000000000004,0,1,-1,60.0,0.8446960985858638,20,1.4554371251038318
full-rank,20.000000000000004,0,1,-1,70.0,0.952162155903832,20,1.3946246936256643
full-rank,20.000000000000004,0,1,-1,75.0,1.02038927381358,20,1.359792467908245
full-rank,20.000000000000004,0,1,-1,80.0,1.1049222685839195,20,1.3212262242064974
full-rank,20.000000000000004,0,1,-1,82.13,1.1489534490173845,20,1.3033514475452488
full-rank,20.000000000000004,0,1,-1,85.0,1.2179894110770837,20,1.2777001923097928
full-rank,20.000000000000004,0,1,-1,90.0,1.3856963585802446,20,1.2263252934906907
