eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE
1.0,0,1,-1,85.0,1.439173479466831,10,0.9056783553507449
1.0,0,1,-1,90.0,1.6442685392928138,10,0.9315891438259236
1.0,0,1,-1,95.0,1.9503358093132461,2,0.9118281110814745
1.0,0,1,-1,95.0,1.9574987383218225,2,0.9059985873422274
1.0,0,1,-1,95.0,1.9576732505602308,10,0.9582384957815637
1.0,0,1,-1,99.0,2.550138518498888,2,0.9497659722353247
1.0,0,1,-1,99.0,2.5645083207714174,2,0.9423433655779926
1.0,0,1,-1,99.0,2.559502259846301,5,0.9305695738057851
1.0,0,1,-1,99.0,2.5632488728641776,10,0.9847678916388881
1.0,0,1,-1,99.73,2.9384112560511246,2,0.9638178169733642
1.0,0,1,-1,99.73,2.9527055323316196,2,0.9569366905639454
1.0,0,1,-1,99.73,2.947800610966103,5,0.9484665563431129
1.0,0,1,-1,99.73,2.9550559783823362,10,0.9926024727559289
2.0,0,1,-1,75.0,1.1773769748519305,2,0.905884790820975
2.0,0,1,-1,80.0,1.2693500074475554,2,0.9190498216538021
2.0,0,1,-1,82.13,1.3133270128891703,2,0.9246644997460669
2.0,0,1,-1,85.0,1.3780791744055807,2,0.9321427418768431
2.0,0,1,-1,90.0,1.5169923492611264,2,0.945369609368127
2.0,0,1,-1,90.0,1.5146497990755647,20,0.9150978705781571
2.0,0,1,-1,95.0,1.7292175478627136,2,0.9608037931769626
2.0,0,1,-1,95.0,1.7278455125057355,20,0.9337532069890333
2.0,0,1,-1,99.0,2.1320475088261204,2,0.9782227666635563
2.0,0,1,-1,99.0,2.1324935657340447,20,0.9573229590078245
2.0,0,1,-1,99.73,2.3863527138385403,2,0.9849940621457097
2.0,0,1,-1,99.73,2.395971761111955,20,0.9676298287334456
2.5,0,1,-1,75.0,1.152886780910611,5,0.9067997995793672
2.5,0,1,-1,80.0,1.2279539150491263,5,0.9166260570254817
2.5,0,1,-1,82.13,1.2639710155532045,5,0.9210950474918949
2.5,0,1,-1,85.0,1.3184718018519845,5,0.9272426011112888
2.5,0,1,-1,90.0,1.434906368773036,5,0.9386690697205055
2.5,0,1,-1,95.0,1.6161195409062075,5,0.9524690698134956
2.5,0,1,-1,99.0,1.9688860525411347,5,0.969876062988336
2.5,0,1,-1,99.73,2.2004193983130635,5,0.9768534907660508
5.0,0,1,-1,35.0,0.8157388592021443,50,0.9008503897530729
5.0,0,1,-1,40.0,0.8552465635153608,50,0.9080354367756389
5.0,0,1,-1,45.0,0.8938756175903757,10,0.9015194752123709
5.0,0,1,-1,45.0,0.8940463215116272,50,0.9144714891455044
5.0,0,1,-1,50.0,0.9331885336984336,5,0.905473408399452
5.0,0,1,-1,50.0,0.9325577650306395,10,0.9078733333801858
5.0,0,1,-1,50.0,0.9328366077688811,50,0.9204926494428486
5.0,0,1,-1,60.0,1.013051063820503,5,0.917396486288428
5.0,0,1,-1,60.0,1.0125606275774137,10,0.9195852163925726
5.0,0,1,-1,60.0,1.0128068644796646,50,0.9314664666215033
5.0,0,1,-1,70.0,1.101129501497752,5,0.9286339447466029
5.0,0,1,-1,70.0,1.100537896771994,10,0.9305559582832915
5.0,0,1,-1,70.0,1.1003985832359722,50,0.9416221748081952
5.0,0,1,-1,75.0,1.1511059458063764,5,0.9342000307454045
5.0,0,1,-1,75.0,1.1503030202429603,10,0.935974265423452
5.0,0,1,-1,75.0,1.1502440852964426,50,0.9467170354751249
5.0,0,1,-1,80.0,1.206921399374952,5,0.9397904764489817
5.0,0,1,-1,80.0,1.2066919543639583,10,0.941572646241787
5.0,0,1,-1,80.0,1.2060896394452156,50,0.9518330726654167
5.0,0,1,-1,82.13,1.2335012122956428,5,0.9422623814403945
5.0,0,1,-1,82.13,1.2332926518627125,10,0.944017713518727
5.0,0,1,-1,82.13,1.2325643647752798,50,0.9540544749421166
5.0,0,1,-1,85.0,1.2736680395401372,5,0.9457495714113261
5.0,0,1,-1,85.0,1.2731190990242405,10,0.9473733232586374
5.0,0,1,-1,85.0,1.2720364170409337,50,0.9571708660139358
5.0,0,1,-1,90.0,1.358480507109867,5,0.9523854565712003
5.0,0,1,-1,90.0,1.3578479830532293,10,0.954082502741695
5.0,0,1,-1,90.0,1.3566979138323896,50,0.9630073885604654
5.0,0,1,-1,95.0,1.4861705678188348,5,0.960638446827034
5.0,0,1,-1,95.0,1.48614170555803,10,0.9621743326029977
5.0,0,1,-1,95.0,1.4843387328265587,50,0.9702819553288358
5.0,0,1,-1,99.0,1.7306585406230188,5,0.9720734063141009
5.0,0,1,-1,99.0,1.7298949292299768,10,0.9735691452501676
5.0,0,1,-1,99.0,1.726746074560348,50,0.9799291947859498
5.0,0,1,-1,99.73,1.8887065927270434,5,0.9771385524176928
5.0,0,1,-1,99.73,1.8866152406613375,10,0.9786508245334238
5.0,0,1,-1,99.73,1.8830797892884874,50,0.9844536390458503
10.0,0,1,-1,5.0,0.6289882707521018,10,0.9068919131955898
10.0,0,1,-1,5.0,0.6284322338439479,20,0.9202665220906617
10.0,0,1,-1,10.0,0.698537344706945,10,0.9180513850139258
10.0,0,1,-1,10.0,0.6980551544063363,20,0.9306658451646077
10.0,0,1,-1,15.0,0.7467679037230809,10,0.9250114301686583
10.0,0,1,-1,15.0,0.7465027168877177,20,0.9371481622116405
10.0,0,1,-1,20.0,0.786282151888374,10,0.9303080289915773
10.0,0,1,-1,20.0,0.7862457813591599,20,0.9420372868151731
10.0,0,1,-1,25.0,0.8208651719985344,10,0.9346283742896123
10.0,0,1,-1,25.0,0.8206085653799109,20,0.9459749355380204
10.0,0,1,-1,30.0,0.8524867704872218,10,0.9383735514865433
10.0,0,1,-1,30.0,0.8523174424315162,20,0.949392168897074
10.0,0,1,-1,35.0,0.8822608494044264,10,0.9416920504176174
10.0,0,1,-1,35.0,0.8819798139165054,20,0.9523730475258902
10.0,0,1,-1,40.0,0.9109191395863295,10,0.9446653998011172
10.0,0,1,-1,40.0,0.9106670397967924,20,0.9550883816842706
10.0,0,1,-1,45.0,0.9389182418276991,10,0.9474336922512643
10.0,0,1,-1,45.0,0.9384635984631174,20,0.9575852906376037
10.0,0,1,-1,50.0,0.9666227803559844,10,0.9499801562482375
10.0,0,1,-1,50.0,0.9660886943925286,20,0.9599327138559929
10.0,0,1,-1,60.0,1.0235082646263964,10,0.954860021485955
10.0,0,1,-1,60.0,1.022874838895304,20,0.9643080415541572
10.0,0,1,-1,70.0,1.0852900921220943,10,0.9595797750790869
10.0,0,1,-1,70.0,1.0849198147405181,20,0.9685321455113979
10.0,0,1,-1,75.0,1.1199956968600553,10,0.9620034818626941
10.0,0,1,-1,75.0,1.119652231925054,20,0.9706453890391644
10.0,0,1,-1,80.0,1.1587900548072507,10,0.964512308125415
10.0,0,1,-1,80.0,1.1588832106034148,20,0.9729099440617761
10.0,0,1,-1,82.13,1.1776880333170507,10,0.9656506985134696
10.0,0,1,-1,82.13,1.1773895483945414,20,0.9739415888065739
10.0,0,1,-1,85.0,1.20499823479132,10,0.9672313555422791
10.0,0,1,-1,85.0,1.2049221089803193,20,0.9753679397788171
10.0,0,1,-1,90.0,1.2634575587838477,10,0.9703464431044729
10.0,0,1,-1,90.0,1.2639314854704395,20,0.9781253167839077
10.0,0,1,-1,95.0,1.3508862032222009,10,0.9744444028019517
10.0,0,1,-1,95.0,1.3516654533192756,20,0.9816134360678642
10.0,0,1,-1,99.0,1.5175098044406818,10,0.9804780870122138
10.0,0,1,-1,99.0,1.5180744712434708,20,0.9867166142135115
10.0,0,1,-1,99.73,1.6253737973406426,10,0.983405265814657
10.0,0,1,-1,99.73,1.6251836529782697,20,0.989148427797765
10.01,0,1,-1,5.0,0.6290836815001466,100,0.9090548858510055
10.01,0,1,-1,10.0,0.6984220763796303,100,0.9196316836706396
10.01,0,1,-1,15.0,0.7470849792088858,100,0.9263405818726003
10.01,0,1,-1,20.0,0.7866237728072532,100,0.9314066717308428
10.01,0,1,-1,25.0,0.8214312842973367,100,0.9355176575315414
10.01,0,1,-1,30.0,0.8526726122537447,100,0.9390278547895115
10.01,0,1,-1,35.0,0.8823563592352087,100,0.9421661061234357
10.01,0,1,-1,40.0,0.9110131357974911,100,0.9450846634034221
10.01,0,1,-1,45.0,0.9391036913790851,100,0.9477622929704284
10.01,0,1,-1,50.0,0.9669096009562133,100,0.9502693603465229
10.01,0,1,-1,60.0,1.0234537381744375,100,0.9549941670350528
10.01,0,1,-1,70.0,1.0853323471867267,100,0.959602250592096
10.01,0,1,-1,75.0,1.1200526006639575,100,0.9619287860048583
10.01,0,1,-1,80.0,1.158990018387404,100,0.9643543219704835
10.01,0,1,-1,82.13,1.1774275678187986,100,0.9654583190898773
10.01,0,1,-1,85.0,1.2048847185027562,100,0.9670057505409277
10.01,0,1,-1,90.0,1.2637750081372452,100,0.9700770114808158
10.01,0,1,-1,95.0,1.3523542333735965,100,0.9740477049761097
10.01,0,1,-1,99.0,1.5198991249607352,100,0.979938408207113
10.01,0,1,-1,99.73,1.6270535095253797,100,0.9828942673596716
20.0,0,1,-1,5.0,0.7373852906219649,20,0.961991791974983
20.0,0,1,-1,10.0,0.7893353702714316,20,0.9656006328053823
20.0,0,1,-1,15.0,0.825063407315241,20,0.9679004848205436
20.0,0,1,-1,20.0,0.8540389883417878,20,0.9696684799129945
20.0,0,1,-1,25.0,0.8791153419840606,20,0.9711100994968863
20.0,0,1,-1,30.0,0.9018517904759122,20,0.9723540184303723
20.0,0,1,-1,35.0,0.9232830700462943,20,0.9734787197322369
20.0,0,1,-1,40.0,0.9437251512187459,20,0.9745039797031158
20.0,0,1,-1,45.0,0.9636393165576903,20,0.9754615267360027
20.0,0,1,-1,50.0,0.9833658684320474,20,0.9763865446221608
20.0,0,1,-1,60.0,1.0238311986310848,20,0.9781709198158082
20.0,0,1,-1,70.0,1.0676056345458507,20,0.9799467663638926
20.0,0,1,-1,75.0,1.0919295715562165,20,0.9808563725107284
20.0,0,1,-1,80.0,1.1190769000966885,20,0.9818318346368133
20.0,0,1,-1,82.13,1.1318490536909618,20,0.9822653576664852
20.0,0,1,-1,85.0,1.1508725535224404,20,0.982901740262706
20.0,0,1,-1,90.0,1.1917737353134386,20,0.98416970971297
20.0,0,1,-1,95.0,1.2526087528204812,20,0.985881155506498
20.0,0,1,-1,99.0,1.3688372547176006,20,0.9886206824281961
20.0,0,1,-1,99.73,1.4413588758969973,20,0.9899926958525587
25.0,0,1,-1,5.0,0.7652081738385101,50,0.9726538120784245
25.0,0,1,-1,10.0,0.8123686781835799,50,0.9751248108592462
25.0,0,1,-1,15.0,0.8446555378555486,50,0.9766955250925052
25.0,0,1,-1,20.0,0.8705690556071692,50,0.9778994063145205
25.0,0,1,-1,25.0,0.8932691338867522,50,0.9788950763984732
25.0,0,1,-1,30.0,0.9137268411634489,50,0.9797558484880684
25.0,0,1,-1,35.0,0.9329092699124365,50,0.9805332585216446
25.0,0,1,-1,40.0,0.9511315930962049,50,0.9812479755365923
25.0,0,1,-1,45.0,0.9690187913842021,50,0.9819209066466417
25.0,0,1,-1,50.0,0.9866654608228757,50,0.9825668207288109
25.0,0,1,-1,60.0,1.0226957716019016,50,0.9838133378154449
