cov_type,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE
full-rank,2.0,0,1,-1,5.0,0.1082868254550303,2,2.0973800218930907
full-rank,2.0,0,1,-1,10.0,0.1707217183631534,2,2.087226052721232
full-rank,2.0,0,1,-1,15.0,0.2264936940439119,2,2.0699250445437305
full-rank,2.0,0,1,-1,20.0,0.2805119792864756,2,2.0526833298457925
full-rank,2.0,0,1,-1,25.0,0.334250141952478,2,2.031882007150434
full-rank,2.0,0,1,-1,30.0,0.3885332369401525,2,2.008855759161904
full-rank,2.0,0,1,-1,35.0,0.4439800171466638,2,1.981487794713892
full-rank,2.0,0,1,-1,40.0,0.5022692091632878,2,1.9518015595677631
full-rank,2.0,0,1,-1,45.0,0.5634646380197034,2,1.9207857581345236
full-rank,2.0,0,1,-1,50.0,0.6281991967436921,2,1.88702399798318
full-rank,2.0,0,1,-1,60.0,0.7745432687347426,2,1.8108036124869789
full-rank,2.0,0,1,-1,70.0,0.956593803795422,2,1.722710569673428
full-rank,2.0,0,1,-1,75.0,1.068509201329712,2,1.6726230658949643
full-rank,2.0,0,1,-1,80.0,1.2028301815629705,2,1.6175859743843084
full-rank,2.0,0,1,-1,82.13,1.2692033711523072,2,1.5924273448364012
full-rank,2.0,0,1,-1,85.0,1.3710678395738596,2,1.5560668628336418
full-rank,2.0,0,1,-1,90.0,1.6047909396166855,2,1.483947867718101
full-rank,2.0,0,1,-1,95.0,1.995498619381582,2,1.3883439508307276
full-rank,2.0,0,1,-1,99.0,2.8536737215178274,2,1.2542566760325358
full-rank,2.0,0,1,-1,99.73,3.4971368182535305,2,1.193580545348984
full-rank,5.0,0,1,-1,5.0,0.1799325429941596,5,3.107006565537554
full-rank,5.0,0,1,-1,10.0,0.260422671592178,5,2.783435801128889
full-rank,5.0,0,1,-1,15.0,0.3275718059990432,5,2.5891466484859
full-rank,5.0,0,1,-1,20.0,0.3883476095833618,5,2.445866816522661
full-rank,5.0,0,1,-1,25.0,0.4460920441494213,5,2.3309140349064283
full-rank,5.0,0,1,-1,30.0,0.5030933922373789,5,2.233506581304902
full-rank,5.0,0,1,-1,35.0,0.559681630065134,5,2.148515412665554
full-rank,5.0,0,1,-1,40.0,0.616543263896537,5,2.0736796802680817
full-rank,5.0,0,1,-1,45.0,0.6750164449168623,5,2.004564527626304
full-rank,5.0,0,1,-1,50.0,0.7358453353252236,5,1.939969123174573
full-rank,5.0,0,1,-1,60.0,0.8704909423619807,5,1.8204707916084684
full-rank,5.0,0,1,-1,70.0,1.0297350139360597,5,1.7070913384503568
full-rank,5.0,0,1,-1,75.0,1.125501028157113,5,1.6502243013150413
full-rank,5.0,0,1,-1,80.0,1.237120856821227,5,1.5925171895584307
full-rank,5.0,0,1,-1,82.13,1.2922485087229705,5,1.5670092990350606
full-rank,5.0,0,1,-1,85.0,1.3763376867874944,5,1.531483032838436
full-rank,5.0,0,1,-1,90.0,1.5641188499979548,5,1.4625839785630668
full-rank,5.0,0,1,-1,95.0,1.870136171724076,5,1.375533670889384
full-rank,5.0,0,1,-1,99.0,2.5186109611838736,5,1.2564932522154697
full-rank,5.0,0,1,-1,99.73,2.983229101702104,5,1.2029414342732003
full-rank,10.000000000000002,0,1,-1,5.0,0.2047572791063951,10,3.437776908083019
