cov_type,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE
full-rank,2.0,0,1,-1,5.0,0.1625694066145834,2,0.8475578898943665
full-rank,2.0,0,1,-1,10.0,0.2333558946383336,2,0.9886805106183982
full-rank,2.0,0,1,-1,15.0,0.2914312028752775,2,1.0778362479299557
full-rank,2.0,0,1,-1,20.0,0.34373852891173,2,1.1441623665113003
full-rank,2.0,0,1,-1,25.0,0.393392655258906,2,1.1954819959844427
full-rank,2.0,0,1,-1,30.0,0.4420048147190711,2,1.236328005413199
full-rank,2.0,0,1,-1,35.0,0.4907112068174482,2,1.270819822906839
full-rank,2.0,0,1,-1,40.0,0.5396468363373418,2,1.299355538352765
full-rank,2.0,0,1,-1,45.0,0.5906384210867581,2,1.3243656776359602
full-rank,2.0,0,1,-1,50.0,0.643799348502381,2,1.34582746730664
full-rank,2.0,0,1,-1,60.0,0.7625911532149282,2,1.3792917222520662
full-rank,2.0,0,1,-1,70.0,0.9082104401641862,2,1.4010310490899418
full-rank,2.0,0,1,-1,75.0,0.999632622859594,2,1.407500198879026
full-rank,2.0,0,1,-1,80.0,1.111035587690766,2,1.410136611089361
full-rank,2.0,0,1,-1,82.13,1.1677660709583932,2,1.4097134095617525
full-rank,2.0,0,1,-1,85.0,1.2562247194724647,2,1.4072108901029552
full-rank,2.0,0,1,-1,90.0,1.4691247683627635,2,1.3956830200652033
full-rank,2.0,0,1,-1,95.0,1.8597123723650135,2,1.36372132730286
full-rank,2.0,0,1,-1,99.0,2.9715348367899184,2,1.2721534651611588
full-rank,2.0,0,1,-1,99.73,4.134833065238011,2,1.2077760243478204
full-rank,5.0,0,1,-1,5.0,0.3112696581525277,5,1.5073902543545945
full-rank,5.0,0,1,-1,10.0,0.3770587455611032,5,1.546980361725646
full-rank,5.0,0,1,-1,15.0,0.4279578891310079,5,1.569564920608865
full-rank,5.0,0,1,-1,20.0,0.4727085032921359,5,1.5843723694489331
full-rank,5.0,0,1,-1,25.0,0.5140475924591125,5,1.5938752999205126
full-rank,5.0,0,1,-1,30.0,0.5542627819799936,5,1.6004006582106247
full-rank,5.0,0,1,-1,35.0,0.5942678379373885,5,1.60492756749111
full-rank,5.0,0,1,-1,40.0,0.6347829732784602,5,1.6070405672849295
full-rank,5.0,0,1,-1,45.0,0.6766922334173984,5,1.607194898053659
full-rank,5.0,0,1,-1,50.0,0.7203907583481264,5,1.6057252052244908
full-rank,5.0,0,1,-1,60.0,0.8182327732827019,5,1.5977712900768046
full-rank,5.0,0,1,-1,70.0,0.9404436412615104,5,1.5813047389827313
full-rank,5.0,0,1,-1,75.0,1.017823848834451,5,1.5683507816031497
full-rank,5.0,0,1,-1,80.0,1.1134320031001623,5,1.5510102376833788
full-rank,5.0,0,1,-1,82.13,1.1620836815793365,5,1.541737115010417
full-rank,5.0,0,1,-1,85.0,1.2383315758774631,5,1.5269664506215364
full-rank,5.0,0,1,-1,90.0,1.4219042802654749,5,1.491900771079461
full-rank,5.0,0,1,-1,95.0,1.7652202032298885,5,1.430509181601095
full-rank,5.0,0,1,-1,99.0,2.752380513119429,5,1.2985599910363703
full-rank,5.0,0,1,-1,99.73,3.791960027375261,5,1.2175979566719386
full-rank,10.000000000000002,0,1,-1,5.0,0.3801242686225601,10,1.699119922270625
full-rank,10.000000000000002,0,1,-1,10.0,0.4389519156658168,10,1.7020651126421522
full-rank,10.000000000000002,0,1,-1,15.0,0.4840560025602581,10,1.7011836128174105
full-rank,10.000000000000002,0,1,-1,20.0,0.5234464495538671,10,1.6979583813425303
full-rank,10.000000000000002,0,1,-1,25.0,0.5602128063455841,10,1.6935285498751669
full-rank,10.000000000000002,0,1,-1,30.0,0.5959433611095203,10,1.6882478922154194
full-rank,10.000000000000002,0,1,-1,35.0,0.6316697829870371,10,1.6818199308625
full-rank,10.000000000000002,0,1,-1,40.0,0.6682085002459363,10,1.6746592819275554
full-rank,10.000000000000002,0,1,-1,45.0,0.7061931357909654,10,1.666350883250001
full-rank,10.000000000000002,0,1,-1,50.0,0.7462415426243463,10,1.6569356739494026
full-rank,10.000000000000002,0,1,-1,60.0,0.835487570760667,10,1.634729527419876
