n,epsilon,m_est,var_mu_n,var_mu_n_fm,RE,var_X,modulation,M-estimator
10,0.05,hampel,2.3375555259813265,2.2868225471431343,0.9782965673866104,4.2239133464429965,5.534099149902797,"Hampel
(Cutoff: π/4,π/2,3π/4)"
20,0.05,hampel,2.0843342836124408,2.0569113142563125,0.9868432959282325,4.2239133464429965,9.869209487300118,"Hampel
(Cutoff: π/4,π/2,3π/4)"
50,0.05,hampel,1.8004713627481332,2.0399057612735065,1.1329842859371642,4.2239133464429965,21.312834983515106,"Hampel
(Cutoff: π/4,π/2,3π/4)"
100,0.05,hampel,1.3731231037083238,2.04072631144156,1.4861932669622075,4.2239133464429965,32.508316129748394,"Hampel
(Cutoff: π/4,π/2,3π/4)"
500,0.05,hampel,0.11697210122318952,2.0148473807386966,17.225025109998253,4.2239133464429965,13.8464134594159,"Hampel
(Cutoff: π/4,π/2,3π/4)"
1000,0.05,hampel,0.009876874704821815,2.0015439854123125,202.64952682199907,4.2239133464429965,2.338323231261181,"Hampel
(Cutoff: π/4,π/2,3π/4)"
5000,0.05,hampel,3.56232997047661e-06,1.9930517922917146,559479.8373001536,4.2239133464429965,0.004216859672886622,"Hampel
(Cutoff: π/4,π/2,3π/4)"
10000,0.05,hampel,1.7904246016362666e-06,1.9935831220542846,1113469.4643004523,4.2239133464429965,0.004238781562940923,"Hampel
(Cutoff: π/4,π/2,3π/4)"
10,0.05,cauchy,2.6606693017373515,2.2868225471431343,0.8594914616596265,4.2239133464429965,6.299062228579879,"Cauchy
(Cutoff: π/2)"
20,0.05,cauchy,2.005677512823271,2.0569113142563125,1.0255443864257734,4.2239133464429965,9.496773954949969,"Cauchy
(Cutoff: π/2)"
50,0.05,cauchy,1.6170580535032015,2.0399057612735065,1.2614919772696138,4.2239133464429965,19.141704870259044,"Cauchy
(Cutoff: π/2)"
100,0.05,cauchy,1.2722298636998666,2.04072631144156,1.6040547150078457,4.2239133464429965,30.119696105300672,"Cauchy
(Cutoff: π/2)"
500,0.05,cauchy,0.6132593115949433,2.0148473807386966,3.2854737672038805,4.2239133464429965,72.59373728764767,"Cauchy
(Cutoff: π/2)"
1000,0.05,cauchy,0.5419305507457531,2.0015439854123125,3.693358831049437,4.2239133464429965,128.30058438630584,"Cauchy
(Cutoff: π/2)"
5000,0.05,cauchy,0.5117306481898034,1.9930517922917146,3.894728211690932,4.2239133464429965,605.754197846811,"Cauchy
(Cutoff: π/2)"
10000,0.05,cauchy,0.5097850238762863,1.9935831220542846,3.9106349317513174,4.2239133464429965,1206.9021830326653,"Cauchy
(Cutoff: π/2)"
