n,M-estimator,m_est,x,y,theta
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9995424912795486,-0.030245795189949895,-0.03025040860591762
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9999999867380271,-0.0001628617393497818,-0.00016286174006973776
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9993204027155017,-0.036860991800606605,-0.03686934428115718
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9996465432773606,-0.026585494421265152,-0.02658862713809086
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9996748835073179,0.025497593702751394,0.02550035729156221
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9999726051920028,0.007401950115934949,0.007402017708343033
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9996746397950921,0.02550714704846913,0.02550991374540515
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9985327870244456,0.054150468485433804,0.054176967461273894
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.999890868585786,-0.01477331779795941,-0.014773855232441199
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9980499707076097,0.06241999655987053,0.0624606018414725
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9991069000707191,-0.0422540202948166,-0.042266603811112094
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.999999994104218,-0.00010858896473634564,-0.00010858896494975129
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.999946640318251,0.010330368640019988,0.01033055238566951
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9999492493435636,-0.010074658169998986,-0.010074828605297377
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9999607614935911,-0.008858638335462462,-0.008858754203860095
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9988959899175477,0.04697660403478835,0.04699389922081785
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9999686768355681,0.007914881409271447,0.00791496405001749
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9997897056848107,-0.02050717939355691,-0.02050861702890393
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9999507932060866,-0.009920240244916313,-0.009920402962524815
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9999750842406646,0.007059100358647874,0.007059158986847406
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9996984249892406,-0.024557261126340164,-0.024559730042930987
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9977833479309851,-0.06654615384553768,-0.06659536737387957
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9999338186990995,0.011504704334975956,0.0115049581404613
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9992869874554164,-0.03775601544493392,-0.0377649915092199
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9999999818762053,0.00019038799446473347,0.00019038799561491783
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9996859250602518,0.02506095042941503,0.025063574431236683
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9999159125219786,-0.01296795609710694,-0.012968319590240833
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.999965670052809,-0.008286055505221605,-0.008286150326472997
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9998810287321245,0.01542492727975202,0.015425539016582229
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9994815781654874,-0.032195883398736386,-0.03220144823570514
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9999686351007468,0.007920152444777033,0.00792023525074375
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9999304970434767,-0.011789872025713554,-0.011790145176961782
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9988400608968528,-0.04815114482093647,-0.04816977092852962
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9999909496757966,-0.004254476054462523,-0.004254488889304857
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.999920297478698,0.012625319406343354,0.012625654840300326
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9999323239578306,-0.011633894631317776,-0.011634157083737039
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9983045564435806,0.058206636941032334,0.05823955462198977
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9980928312021041,0.0617308699352986,0.06177014362722511
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9999308005966662,0.011764098695193544,0.011764370058908331
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9997400246394301,0.02280094590038342,0.022802922000590482
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9998952357596033,0.014474719522273664,0.014475225021122239
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9981823862093809,0.06026544500244997,0.060301984671144025
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9924862537955085,0.12235618507847615,0.12266356019973451
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9999164565641829,0.012925938732943778,0.01292629870408407
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9995175513349294,-0.03105904978304277,-0.031064045546171173
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9986763085014518,0.051435696144905195,0.051458403166099426
10,"Tukey's biweight
(Cutoff: π/2)",biweight,0.9998731855123936,0.01592522820247995,0.01592590141984772
