n,epsilon,M-estimator,m_est,x,y,theta
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,0.3185082002143544,-0.9479201054921308,-1.2466410175672689
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,0.5404376671676985,0.8413840549394397,0.9998391289848855
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,0.31390304554327497,0.949455042642177,1.2514952454017556
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,-0.34816793948400404,-0.937432176701581,-1.9264123801270294
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,-0.2973322837085449,0.9547740638835255,1.8726936792813644
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,0.5828670446538692,0.8125675407352078,0.9485437056259584
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,-0.6091036775432439,0.7930906064273467,2.2257262625666607
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,0.31309732350480657,-0.9497210464205406,-1.2523437417521137
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,-0.023856441063805293,-0.9997153946097704,-1.5946550313402899
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,-0.2783662511562246,-0.9604750023906035,-1.8528890356229726
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,0.5899307498942767,-0.8074538440859491,-0.9398232522511133
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,0.010513708898254391,-0.9999447294351836,-1.5602824241928168
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,0.2571230735226844,-0.9663786654631035,-1.3107523260494756
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,-0.023395691021434187,0.9997262833604146,1.5941941526467105
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,0.2982687728946768,-0.9544819218381791,-1.267917975303547
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,0.3009926301591888,-0.953626465965502,-1.2650629431348348
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,-0.6151704143333943,-0.7883941662194621,-2.2333984287950397
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,0.32075835170909056,0.9471610632880068,1.2442662903267054
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,0.3066225872097231,-0.9518311767392444,-1.2591536638715557
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,0.599451527502218,-0.8004110607526953,-0.9279806325051222
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,-0.2962216338439261,-0.9551192300665059,-1.87153063028492
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,0.5603378602805358,-0.8282641380237529,-0.9760026693617169
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,-0.25077334693270253,0.9680458297354373,1.8242753736738262
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,0.2852562482331292,0.958451288717355,1.2815225527009315
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,0.5929382280998332,-0.8052479479376717,-0.9360935177967568
10,0.05,"$L^2 loss$
(Fréchet mean)",frechet,0.03565921673147835,0.9993640078880653,1.535129548479554
