n,epsilon,m_est,var_mu_n,var_mu_n_fm,RE,var_X,modulation,M-estimator
10,0.05,frechet,2.4661401358457975,2.4661401358457975,1.0,4.223714677738478,5.83879434101892,"$L^2 loss$
(Fréchet mean)"
20,0.05,frechet,2.1996360255763987,2.1996360255763987,1.0,4.223714677738478,10.415646857823074,"$L^2 loss$
(Fréchet mean)"
50,0.05,frechet,2.099629039300983,2.099629039300983,1.0,4.223714677738478,24.855242357720016,"$L^2 loss$
(Fréchet mean)"
100,0.05,frechet,1.983714558316565,1.983714558316565,1.0,4.223714677738478,46.9661118155527,"$L^2 loss$
(Fréchet mean)"
500,0.05,frechet,1.9879492786647848,1.9879492786647848,1.0,4.223714677738478,235.33186192032284,"$L^2 loss$
(Fréchet mean)"
1000,0.05,frechet,1.9846732182183948,1.9846732182183948,1.0,4.223714677738478,469.8880889561075,"$L^2 loss$
(Fréchet mean)"
5000,0.05,frechet,1.9804833068967216,1.9804833068967216,1.0,4.223714677738478,2344.4804609258554,"$L^2 loss$
(Fréchet mean)"
10000,0.05,frechet,1.9846424194104446,1.9846424194104446,1.0,4.223714677738478,4698.807970790987,"$L^2 loss$
(Fréchet mean)"
10,0.05,huber_90,2.5820426421997364,2.4661401358457975,0.9551120866636047,4.223714677738478,6.113203280062115,"Huber
(Cutoff: π/2)"
20,0.05,huber_90,2.1954500500828864,2.1996360255763987,1.0019066594083315,4.223714677738478,10.395825559213227,"Huber
(Cutoff: π/2)"
50,0.05,huber_90,1.9550001610846226,2.099629039300983,1.0739789597439835,4.223714677738478,23.143137146415828,"Huber
(Cutoff: π/2)"
100,0.05,huber_90,1.718535750639428,1.983714558316565,1.1543050865124393,4.223714677738478,40.68778034882771,"Huber
(Cutoff: π/2)"
500,0.05,huber_90,1.6689530144871663,1.9879492786647848,1.1911355570879503,4.223714677738478,197.56933668881027,"Huber
(Cutoff: π/2)"
1000,0.05,huber_90,1.6534001988260871,1.9846732182183948,1.2003586425279924,4.223714677738478,391.45641336534936,"Huber
(Cutoff: π/2)"
5000,0.05,huber_90,1.6428936346328056,1.9804833068967216,1.205484801418303,4.223714677738478,1944.8444793061487,"Huber
(Cutoff: π/2)"
