URN,PoleID,PlateID,SiteLatitude,SiteLongitude,PoleLatitude,PoleLongitude,PaleoLatitude,Declination,Inclination,QSum,OldAge,YoungAge,MeanAge,Alpha95,AuthorYear
1,A1.001,101,37,-105,81,-149,43,351,62,1,56,23,39.5,13,Larson & Strangway (1969)
2,A1.002,101,56,-63,86,118,52,360,69,3,43,30,36.5,2,Currie & Larochelle (1969)
3,A1.003,133,46,-112,66,-121,69,350,79,2,64,28,46,6,Hanna (1967)
4,A1.004,101,40,-105,68,-171,45,331,64,2,64,28,46,14,McMahon & Strangway (1968)
5,A1.005,101,43,-105,84,144,41,353,60,5,47,35,41,8,Flynn (1986)
6,A1.006,101,38,-80,88,46,37,2,56,5,46,39,42.5,9,Lovlie & Opdyke (1974)
7,A1.007,101,38,-79,86,-116,41,357,60,4,46,39,42.5,10,Ressetar & Martin (1980)
8,A1.008,101,45,-110,84,177,46,352,65,5,47,42,44.5,8,Shive & Pruss (1977)
9,A1.009,101,43,-108,79,146,39,346,58,4,47,39,43,10,Sheriff & Shive (1980)
10,A1.010,133,40,-108,19,-135,59,236,73,0,46,42,44,6,Strangway & McMahon (1973)
11,A1.011,101,48,-110,82,170,49,348,66,6,51,44,47.5,4,Diehl et al. (1983)
12,A1.012,133,46,-112,77,146,42,343,61,5,50,45,47.5,4,Harlan et al. (1988)
13,A1.013,101,30,-103,76,86,16,358,30,6,60,50,55,6,Rapp et al. (1983)
14,A1.014,101,67,-61,83,-55,74,3,82,3,60,54,57,6,Deutsch et al. (1971)
15,A1.015,101,45,-110,69,133,33,338,52,4,60,54,57,18,Butler et al. (1987)
16,A1.016,106,79,-83,62,-145,65,263,77,5,66,56,61,31,Tauxe & Clark (1987)
17,A1.017,101,48,-109,81,-175,51,347,68,5,66,56,61,6,Jacobson et al. (1980)
18,A1.018,101,41,-105,81,64,32,2,51,2,66,51,58.5,11,Larson et al. (1969)
19,A1.019,133,37,-108,76,148,32,345,-44,6,64,58,61,3,Butler & Taylor (1978)
20,A1.020,101,52,-113,72,-177,56,330,72,4,61,60,60.5,7,Lerbeckmo & Coulter (1985)
21,A1.021,134,32,-111,77,-159,40,347,59,4,67,60,63.5,1,Barnes & Butler (1980)
22,A1.022,101,48,-109,82,-179,50,348,67,6,68,58,63,5,Diehl et al. (1983)
23,A1.023,134,32,-112,74,176,36,341,55,5,72,67,69.5,6,Vugteveen et al. (1981)
24,A1.024,132,46,-113,73,-111,63,1,76,0,78,68,73,7,Hanna (1973)
25,A1.025,133,46,-112,69,-171,53,329,69,5,78,72,75,5,Hanna (1967; 1973)
26,A1.026,133,41,-109,65,-162,52,327,69,3,84,70,77,13,Kilbourne (1969)
27,A1.027,101,40,-105,64,-172,45,325,64,5,89,68,78.5,4,Shive & Frerichs (1974)
